phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,50,0.0004,0.4,0.0016971888521905864,8,150,374850,150,99,1.0,0.39759036144578314
0.02,50,0.0004,0.4,0.0016971888521905864,9,150,374850,150,107,1.0,0.4163424124513619
0.02,50,0.0006,0.6,0.002545672799084753,0,150,374850,150,226,1.0,0.601063829787234
0.02,50,0.0006,0.6,0.002545672799084753,1,150,374850,150,154,1.0,0.506578947368421
0.02,50,0.0006,0.6,0.002545672799084753,2,150,374850,150,273,1.0,0.6453900709219859
0.02,50,0.0006,0.6,0.002545672799084753,3,150,374850,150,201,1.0,0.5726495726495726
0.02,50,0.0006,0.6,0.002545672799084753,4,150,374850,150,173,1.0,0.5356037151702786
0.02,50,0.0006,0.6,0.002545672799084753,5,150,374850,150,253,1.0,0.6277915632754343
0.02,50,0.0006,0.6,0.002545672799084753,6,150,374850,150,167,1.0,0.526813880126183
0.02,50,0.0006,0.6,0.002545672799084753,7,150,374850,150,165,1.0,0.5238095238095238
0.02,50,0.0006,0.6,0.002545672799084753,8,150,374850,150,282,1.0,0.6527777777777778
0.02,50,0.0006,0.6,0.002545672799084753,9,150,374850,150,173,1.0,0.5356037151702786
0.02,50,0.0008,0.8,0.0033941788403088016,0,150,374850,150,318,1.0,0.6794871794871795
0.02,50,0.0008,0.8,0.0033941788403088016,1,150,374850,150,305,1.0,0.6703296703296703
0.02,50,0.0008,0.8,0.0033941788403088016,2,150,374850,150,395,1.0,0.7247706422018348
0.02,50,0.0008,0.8,0.0033941788403088016,3,150,374850,150,329,1.0,0.6868475991649269
0.02,50,0.0008,0.8,0.0033941788403088016,4,150,374850,150,380,1.0,0.7169811320754716
0.02,50,0.0008,0.8,0.0033941788403088016,5,150,374850,150,336,1.0,0.691358024691358
0.02,50,0.0008,0.8,0.0033941788403088016,6,150,374850,150,366,1.0,0.7093023255813954
0.02,50,0.0008,0.8,0.0033941788403088016,7,150,374850,150,394,1.0,0.7242647058823529
0.02,50,0.0008,0.8,0.0033941788403088016,8,150,374850,150,420,1.0,0.7368421052631579
0.02,50,0.0008,0.8,0.0033941788403088016,9,150,374850,150,431,1.0,0.7418244406196214
0.02,50,0.001,1.0,0.004242693719796422,0,150,374850,150,472,1.0,0.7588424437299035
0.02,50,0.001,1.0,0.004242693719796422,1,150,374850,150,504,1.0,0.7706422018348624
0.02,50,0.001,1.0,0.004242693719796422,2,150,374850,150,532,1.0,0.7800586510263929
0.02,50,0.001,1.0,0.004242693719796422,3,150,374850,150,519,1.0,0.7757847533632287
0.02,50,0.001,1.0,0.004242693719796422,4,150,374850,150,696,1.0,0.8226950354609929
0.02,50,0.001,1.0,0.004242693719796422,5,150,374850,150,762,1.0,0.8355263157894737
0.02,50,0.001,1.0,0.004242693719796422,6,150,374850,150,505,1.0,0.7709923664122137
0.02,50,0.001,1.0,0.004242693719796422,7,150,374850,150,575,1.0,0.7931034482758621
0.02,50,0.001,1.0,0.004242693719796422,8,150,374850,150,565,1.0,0.7902097902097902
0.02,50,0.001,1.0,0.004242693719796422,9,150,374850,150,427,1.0,0.7400346620450606
0.02,100,5e-05,0.05,0.00021319005605327846,0,300,2999700,300,10,1.0,0.03225806451612903
0.02,100,5e-05,0.05,0.00021319005605327846,1,300,2999700,300,20,1.0,0.0625
0.02,100,5e-05,0.05,0.00021319005605327846,2,300,2999700,300,14,1.0,0.044585987261146494
0.02,100,5e-05,0.05,0.00021319005605327846,3,300,2999700,300,30,1.0,0.09090909090909091
0.02,100,5e-05,0.05,0.00021319005605327846,4,300,2999700,300,17,1.0,0.05362776025236593
0.02,100,5e-05,0.05,0.00021319005605327846,5,300,2999700,300,6,1.0,0.0196078431372549
0.02,100,5e-05,0.05,0.00021319005605327846,6,300,2999700,300,10,1.0,0.03225806451612903
0.02,100,5e-05,0.05,0.00021319005605327846,7,300,2999700,300,4,1.0,0.013157894736842105
0.02,100,5e-05,0.05,0.00021319005605327846,8,300,2999700,300,4,1.0,0.013157894736842105
0.02,100,5e-05,0.05,0.00021319005605327846,9,300,2999700,300,7,1.0,0.02280130293159609
0.02,100,0.0001,0.1,0.0004247940677551889,0,300,2999700,300,55,1.0,0.15492957746478872
