regime,T,rep,family,degree,eps,far_e990,eff_e990,tau_e990,far_e995,eff_e995,tau_e995,far_e999,eff_e999,tau_e999,eff_f001,eff_f010,eff_fixed,far_fixed,cos_C,notes
clean,200,0,normalized_half_comb,16.0,0.0004247940677551889,0.012345679012345678,1.0,0.17103308443375737,0.012345679012345678,1.0,0.17103308443375737,0.012345679012345678,1.0,0.17103308443375737,0.5,0.5,0.5,0.024390243902439025,0.8972130442622456,
clean,200,0,normalized_half_comb,20.0,0.0004247940677551889,0.0,1.0,0.0722664459809988,0.0,1.0,0.0722664459809988,0.0,1.0,0.0722664459809988,1.0,1.0,0.5,0.0,0.8397502494675967,
clean,200,0,normalized_half_comb,24.0,0.0004247940677551889,0.012345679012345678,1.0,0.05383999724680008,0.012345679012345678,1.0,0.05383999724680008,0.012345679012345678,1.0,0.05383999724680008,0.5,0.5,0.5,0.0,0.7771006866655904,
clean,200,0,normalized_half_comb,28.0,0.0004247940677551889,0.0,1.0,0.08177808870064127,0.0,1.0,0.08177808870064127,0.0,1.0,0.08177808870064127,1.0,1.0,0.5,0.0,0.8506937622712019,
clean,200,0,normalized_half_comb,32.0,0.0004247940677551889,0.0,1.0,0.13585882467273408,0.0,1.0,0.13585882467273408,0.0,1.0,0.13585882467273408,1.0,1.0,0.5,0.0,0.9590049720761071,
clean,200,0,normalized_half_comb,36.0,0.0004247940677551889,0.0,1.0,0.1274139351526866,0.0,1.0,0.1274139351526866,0.0,1.0,0.1274139351526866,1.0,1.0,0.5,0.0,0.9447076980632341,
clean,200,0,normalized_half_comb,40.0,0.0004247940677551889,0.0,1.0,0.13473471897188827,0.0,1.0,0.13473471897188827,0.0,1.0,0.13473471897188827,1.0,1.0,0.5,0.0,0.9562185712535237,
clean,200,0,normalized_half_comb,44.0,0.0004247940677551889,0.0,1.0,0.13736038388415453,0.0,1.0,0.13736038388415453,0.0,1.0,0.13736038388415453,1.0,1.0,0.5,0.0,0.9599035289860246,
clean,200,0,fitted_binned,,0.0004247940677551889,0.0,1.0,0.8661694480104074,0.0,1.0,0.8661694480104074,0.0,1.0,0.8661694480104074,1.0,1.0,1.0,0.0,0.999999999999999,mu=0.003 nb=164
clean,200,0,fitted_ridge,20.0,0.0004247940677551889,0.0,1.0,0.2482522009734744,0.0,1.0,0.2482522009734744,0.0,1.0,0.2482522009734744,1.0,1.0,0.5,0.0,0.9953383744665744,mu=0.003
clean,200,0,fitted_ridge,24.0,0.0004247940677551889,0.0,1.0,0.23884598055724057,0.0,1.0,0.23884598055724057,0.0,1.0,0.23884598055724057,1.0,1.0,0.5,0.0,0.9958720158061497,mu=0.003
clean,200,0,fitted_ridge,28.0,0.0004247940677551889,0.0,1.0,0.2768939990236402,0.0,1.0,0.2768939990236402,0.0,1.0,0.2768939990236402,1.0,1.0,0.5,0.0,0.9960105877845001,mu=0.003
clean,200,0,fitted_ridge,32.0,0.0004247940677551889,0.0,1.0,0.3390625789641319,0.0,1.0,0.3390625789641319,0.0,1.0,0.3390625789641319,1.0,1.0,0.5,0.0,0.9960097597355796,mu=0.003
clean,200,0,fitted_ridge,40.0,0.0004247940677551889,0.0,1.0,0.3158384851400534,0.0,1.0,0.3158384851400534,0.0,1.0,0.3158384851400534,1.0,1.0,0.5,0.0,0.9970821617762874,mu=0.003
clean,200,0,fitted_ridge,44.0,0.0004247940677551889,0.0,1.0,0.3041630380985418,0.0,1.0,0.3041630380985418,0.0,1.0,0.3041630380985418,1.0,1.0,0.5,0.0,0.9973514278573512,mu=0.003
clean,200,1,classical_invA,,0.0004247940677551889,0.0,1.0,0.3636363636363642,0.0,1.0,0.3636363636363642,0.0,1.0,0.3636363636363642,1.0,1.0,1.0,0.0,0.9999999999999996,
