setout,regime,T,rep,family,degree,gamma,occ_alpha,kernel,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,eff_f001,eff_f010,eff_f100,cos_C,notes
base,heavy,200,5,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.04396984924623116,0.9706632653061225,0.16523605150214593,0.9923469387755102,0.16523605150214593,0.9923469387755102,0.9950003507407006,1.0,0.9272959183673469,0.9362244897959183,0.9783163265306123,0.11333721917503052,mu=0.003
base,heavy,200,5,fitted_moment,80.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.041561712846347604,0.9706632653061225,0.0975609756097561,0.9910714285714286,0.0975609756097561,0.9910714285714286,0.9950000637746967,1.0,0.9272959183673469,0.9362244897959183,0.9910714285714286,0.11570084515129217,mu=0.139
base,heavy,200,5,fitted_moment,84.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.04396984924623116,0.9706632653061225,0.0975609756097561,0.9910714285714286,0.0975609756097561,0.9910714285714286,0.9950000637746967,1.0,0.9285714285714286,0.9362244897959183,0.9910714285714286,0.11570080137708488,mu=0.139
base,heavy,200,5,fitted_moment,160.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.0403530895334174,0.9706632653061225,0.0975609756097561,0.9910714285714286,0.0975609756097561,0.9910714285714286,0.9950000637746967,1.0,0.9298469387755102,0.9362244897959183,0.9910714285714286,0.11570040372139287,mu=0.139
base,heavy,200,5,comb_prod,40.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.9951062037388346,0.9706632653061225,0.9950826572784326,0.9834183673469388,0.995025700547173,0.9948979591836735,0.9950004463887153,1.0,0.42346938775510207,0.8469387755102041,0.8762755102040817,0.6316031786137388,
base,heavy,200,5,comb_prod,44.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.9951397171851181,0.9719387755102041,0.9950889411884762,0.9821428571428571,0.995025700547173,0.9948979591836735,0.9950004463887153,1.0,0.42346938775510207,0.8469387755102041,0.8762755102040817,0.37376112172970805,
base,heavy,200,5,normalized_half_comb,40.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.0451693851944793,0.9706632653061225,0.6396438612933458,0.9808673469387755,0.6492805755395683,0.9948979591836735,0.9950004463887153,1.0,0.8686224489795918,0.9183673469387755,0.9706632653061225,0.19477399067386522,
base,heavy,200,5,normalized_half_comb,44.0,3.0,0.0,step,0.006312668537322595,156814,784,1.3318495777925252,6.668150422207479,0.0451693851944793,0.9706632653061225,0.6447911886186324,0.9872448979591837,0.6492805755395683,0.9948979591836735,0.9950004463887153,1.0,0.8686224489795918,0.9183673469387755,0.9706632653061225,0.12512971293230404,
base,heavy,200,6,classical_invA,,3.0,0.0,step,0.006312668537322595,156816,785,0.8282553596440795,7.171744640355919,0.07673860911270983,0.9808917197452229,0.07673860911270983,0.9808917197452229,0.6418732782369146,0.9936305732484076,0.994994133251709,1.0,0.0012738853503184713,0.0012738853503184713,0.9808917197452229,1.0,reference only (tau_abs 0.350)
base,heavy,200,6,fitted_moment,40.0,3.0,0.0,step,0.006312668537322595,156816,785,0.8282553596440795,7.171744640355919,0.07451923076923077,0.9808917197452229,0.07451923076923077,0.9808917197452229,0.6418732782369146,0.9936305732484076,0.994994133251709,1.0,0.8980891719745223,0.9528662420382166,0.9808917197452229,0.11245646298253154,mu=0.003
