setout,regime,T,rep,family,degree,gamma,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,eff_f100,notes
base,moderate,1000,1,comb_prod,40.0,3.0,0.0031777035588293387,3926335,3926,0.7639320225002113,7.236067977499788,0.5536676822123272,0.9701986754966887,0.553233484267967,0.9801324503311258,0.9205828408396168,0.9926133469179826,0.9990013569930989,0.9987264391237901,0.9990008481202548,0.9992358634742741,0.0,0.0,0.8288334182373918,
base,moderate,1000,2,classical_invA,,3.0,0.0031777035588293387,3929297,3929,0.632781834130052,7.367218165869942,0.4073846153846154,0.9804021379485874,0.4073846153846154,0.9804021379485874,0.9189077197198856,0.9961822346653092,0.9189077197198856,0.9961822346653092,0.99900007558604,1.0,0.0005090353779587681,0.0005090353779587681,0.0005090353779587681,reference only (tau_abs 0.350)
base,moderate,1000,2,onebqf_cos,1.0,3.0,0.0031777035588293387,3929297,3929,0.632781834130052,7.367218165869942,0.6033261472128119,0.98345635021634,0.6033261472128119,0.98345635021634,0.9188976377952756,0.9961822346653092,0.9188976377952756,0.9961822346653092,0.99900007558604,1.0,0.003054212267752609,0.003054212267752609,0.003054212267752609,
base,moderate,1000,2,comb_prod,40.0,3.0,0.0031777035588293387,3929297,3929,0.632781834130052,7.367218165869942,0.6040714582467802,0.9702214303894121,0.9990089309305049,0.981420208704505,0.999008459398881,0.9916009162636803,0.9990049021928291,0.9951641639093917,0.9990000750770812,1.0,0.0,0.0,0.769406973784678,
base,heavy,400,0,classical_invA,,3.0,0.006312668537322595,622522,1556,0.7592080574173845,7.240791942582577,0.5765815760266371,0.980719794344473,0.5765815760266371,0.980719794344473,0.8760848601735777,0.9910025706940874,0.9975004899425242,1.0,0.9975004899425242,1.0,0.0,0.0,0.0,reference only (tau_abs 0.350)
base,heavy,400,0,onebqf_cos,1.0,3.0,0.006312668537322595,622522,1556,0.7592080574173845,7.240791942582577,0.5757406372275014,0.9755784061696658,0.5744562186279978,0.980719794344473,0.8760649413277608,0.9910025706940874,0.9975004899425242,1.0,0.9975004899425242,1.0,0.006426735218508998,0.006426735218508998,0.007712082262210797,
base,heavy,400,0,comb_prod,40.0,3.0,0.006312668537322595,622522,1556,0.7592080574173845,7.240791942582577,0.5768261964735516,0.9717223650385605,0.8769032465963104,0.9820051413881749,0.9975116785647735,0.9955012853470437,0.9975116785647735,0.9955012853470437,0.9975020882863201,0.9993573264781491,0.0,0.18059125964010284,0.36118251928020567,
base,heavy,400,1,classical_invA,,3.0,0.006312668537322595,622522,1556,0.42428724956559777,7.575712750434402,0.5339449541284403,0.9794344473007712,0.8695872801082544,0.9910025706940874,0.8695872801082544,0.9910025706940874,0.9975004899425242,1.0,0.9975004899425242,1.0,0.0,0.0,0.0,reference only (tau_abs 0.350)
base,heavy,400,1,onebqf_cos,1.0,3.0,0.006312668537322595,622522,1556,0.42428724956559777,7.575712750434402,0.5340699815837937,0.9755784061696658,0.8695872801082544,0.9910025706940874,0.8695872801082544,0.9910025706940874,0.9975004899425242,1.0,0.9975004899425242,1.0,0.0,0.0,0.0,
base,heavy,400,1,comb_prod,40.0,3.0,0.006312668537322595,622522,1556,0.42428724956559777,7.575712750434402,0.9975676214100727,0.9730077120822622,0.997549992208172,0.9800771208226221,0.9975164618738344,0.993573264781491,0.9975100801593548,0.9961439588688946,0.9975020882863201,0.9993573264781491,0.0,0.0,0.75,
