regime,setout,family,degree,eff_f010,far_e990,eff_e990
heavy,occ_a0.05,classical_invA,,0.00127146044165665,0.18498584030467755,0.9911054494258664
heavy,occ_a0.05,comb_prod,4.0,0.00318797344330375,0.9950380627775142,0.9911054494258664
heavy,occ_a0.05,comb_prod,8.0,0.0,0.9950442031471456,0.9911054494258664
heavy,occ_a0.05,comb_prod,12.0,0.0038232809047185,0.6422973268447847,0.9911054494258664
heavy,occ_a0.05,comb_prod,16.0,0.00191082802547765,0.9950439917012622,0.9911054494258664
heavy,occ_a0.05,comb_prod,20.0,0.0012738853503184,0.995044187107606,0.9911054494258664
heavy,occ_a0.05,comb_prod,24.0,0.0,0.9649754151466672,0.9911054494258664
heavy,occ_a0.05,comb_prod,28.0,0.0,0.9950411590772534,0.9911054494258664
heavy,occ_a0.05,comb_prod,32.0,0.0,0.9933808095859948,0.9911054494258664
heavy,occ_a0.05,comb_prod,36.0,0.0,0.9949973196886559,0.9911054494258664
heavy,occ_a0.05,comb_prod,40.0,0.0,0.9948981418454421,0.9911054494258664
heavy,occ_a0.05,comb_prod,44.0,0.0,0.9778025874358417,0.9911054494258664
heavy,occ_a0.05,comb_prod,48.0,0.0,0.9941787869155261,0.9911054494258664
heavy,occ_a0.05,comb_prod,56.0,0.0,0.9928344653214631,0.9911054494258664
heavy,occ_a0.05,comb_prod,64.0,0.0,0.9934344514517865,0.9911054494258664
heavy,occ_a0.05,comb_prod,80.0,0.0,0.9950272002033633,0.9911054494258664
heavy,occ_a0.05,comb_prod,120.0,0.0,0.9946802270842854,0.9911054494258664
heavy,occ_a0.05,fitted_moment,4.0,0.0012746977772,0.17514128403406481,0.9911054494258664
heavy,occ_a0.05,fitted_moment,8.0,0.013969420334033849,0.21427855716493577,0.9911054494258664
heavy,occ_a0.05,fitted_moment,12.0,0.0274120954114129,0.22377446343981777,0.9911054494258664
heavy,occ_a0.05,fitted_moment,16.0,0.0489159917851745,0.23767546791443844,0.9911054494258664
heavy,occ_a0.05,fitted_moment,20.0,0.28201283584984965,0.3590341196719651,0.9911054494258664
heavy,occ_a0.05,fitted_moment,24.0,0.30528455804319193,0.39143176786750167,0.9911054494258664
heavy,occ_a0.05,fitted_moment,28.0,0.4759746320755923,0.5764998334944598,0.9911054494258664
heavy,occ_a0.05,fitted_moment,32.0,0.4468970962421204,0.741593353892124,0.9911054494258664
heavy,occ_a0.05,fitted_moment,36.0,0.44817572146428153,0.5750372690814269,0.9911054494258664
heavy,occ_a0.05,fitted_moment,40.0,0.4355045455126647,0.5044400624114306,0.9911054494258664
heavy,occ_a0.05,fitted_moment,44.0,0.5903924100806812,0.46635171984659396,0.9911054494258664
heavy,occ_a0.05,fitted_moment,48.0,0.6011168791315578,0.3974041771191879,0.9911054494258664
heavy,occ_a0.05,fitted_moment,56.0,0.4399078111214822,0.44489912599059367,0.9911054494258664
heavy,occ_a0.05,fitted_moment,64.0,0.6571526294927694,0.19845323710536789,0.9911054494258664
heavy,occ_a0.05,fitted_moment,80.0,0.8010283343349232,0.4247464254715594,0.9911054494258664
heavy,occ_a0.05,fitted_moment,84.0,0.8199535859044356,0.526074366903956,0.9911054494258664
heavy,occ_a0.05,fitted_moment,96.0,0.8703410093467504,0.4041164750241216,0.9911054494258664
heavy,occ_a0.05,fitted_moment,120.0,0.9039177076807017,0.20008298333559135,0.9911054494258664
heavy,occ_a0.05,fitted_moment,160.0,0.9348796174353333,0.4838854340804094,0.9911054494258664
heavy,occ_a0.05,onebqf_cos,1.0,0.0,0.9950404668687891,0.9911054494258664
moderate,base,classical_invA,,0.4917197452229299,0.3136790745319131,0.9949237842930418
moderate,base,comb_prod,4.0,0.4773755362017418,0.3246018851488014,0.9923371522522052
moderate,base,comb_prod,8.0,0.4806887644595613,0.3387791145325072,0.9923469387755102
moderate,base,comb_prod,12.0,0.9692693603521629,0.9950318648052077,0.9936593530992089
moderate,base,comb_prod,16.0,0.9660438499724214,0.9950004139782576,1.0
moderate,base,comb_prod,20.0,0.9597610783443813,0.995019404423036,0.9949205345855157
moderate,base,comb_prod,24.0,0.9574792306303054,0.33408355755517327,0.9923952418052867
moderate,base,comb_prod,28.0,0.9529545946889721,0.9950006706079574,1.0
moderate,base,comb_prod,32.0,0.9587992511001879,0.9950288415187779,0.9936593530992089
moderate,base,comb_prod,36.0,0.96048518133368,0.3136790745319131,0.9955533964259039
moderate,base,comb_prod,40.0,0.9600747613042696,0.9950006384420038,0.9980809891524178
moderate,base,comb_prod,44.0,0.9600747613042696,0.3251973929684773,0.9923903672439972
moderate,base,comb_prod,48.0,0.9654118404118404,0.3254943667370668,0.9924385603247559
moderate,base,comb_prod,56.0,0.9613357953521888,0.3136790745319131,0.9949237842930418
moderate,base,comb_prod,64.0,0.9654118404118404,0.3136790745319131,0.9949237842930418
moderate,base,comb_prod,80.0,0.9600747613042696,0.3136790745319131,0.9949237842930418
moderate,base,comb_prod,120.0,0.9654118404118404,0.3136790745319131,0.9949237842930418
moderate,base,fitted_moment,4.0,0.9752881946229373,0.3136790745319131,0.9949237842930418
