setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes
occ_a0.05,moderate,200,3,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.022641509433962263,0.9910714285714286,0.7682492581602374,0.9961734693877551,0.9924694310770442,1.0,0.4897959183673469,0.9821428571428571,1.0,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,3,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.0038461538461538464,0.9910714285714286,0.2604166666666667,0.9961734693877551,0.29559748427672955,1.0,0.9783163265306123,0.9923469387755102,0.12498188331708997,mu=0.003
occ_a0.05,moderate,200,3,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.00639386189258312,0.9910714285714286,0.23280943025540274,0.9961734693877551,0.28139321723189736,1.0,0.9732142857142857,0.9923469387755102,0.12512119639083438,mu=0.00646
occ_a0.05,moderate,200,3,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.0025673940949935813,0.9910714285714286,0.16021505376344086,0.9961734693877551,0.18333333333333332,1.0,0.9783163265306123,0.9923469387755102,0.12381437323271452,mu=0.0139
occ_a0.05,moderate,200,3,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.0038461538461538464,0.9910714285714286,0.1501632208922742,0.9961734693877551,0.17560462670872765,1.0,0.9783163265306123,0.9923469387755102,0.12363944124012834,mu=0.0139
occ_a0.05,moderate,200,3,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.32959447799827435,0.9910714285714286,0.9901290428584067,0.9961734693877551,0.993349563565109,1.0,0.0,0.49362244897959184,0.8878521973846978,
occ_a0.05,moderate,200,3,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.330749354005168,0.9910714285714286,0.9933990330978059,0.9961734693877551,0.9950004145064504,1.0,0.0,0.4897959183673469,0.4312004445515002,
occ_a0.05,moderate,200,3,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.9946498657302211,0.9910714285714286,0.9949744863487487,0.9961734693877551,0.9949877250409165,1.0,0.0012755102040816326,0.0012755102040816326,0.9985129753972646,
occ_a0.05,moderate,200,3,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1691708728724115,43.80038858652213,0.9946502340952905,0.9910714285714286,0.9949744863487487,0.9961734693877551,0.9949877891291283,1.0,0.0012755102040816326,0.0012755102040816326,0.9913591452151133,
occ_a0.05,moderate,200,4,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.03955500618046971,0.9910714285714286,0.34808013355592654,0.9961734693877551,0.3536685902720528,1.0,0.00510204081632653,0.00510204081632653,0.9999999999999999,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,4,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.021410579345088162,0.9910714285714286,0.42404129793510326,0.9961734693877551,0.9638892727188982,1.0,0.9630102040816326,0.9808673469387755,0.12746191819898867,mu=0.003
occ_a0.05,moderate,200,4,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.02631578947368421,0.9910714285714286,0.4223372781065089,0.9961734693877551,0.8027176648213387,1.0,0.9630102040816326,0.9808673469387755,0.12726990742341998,mu=0.003
occ_a0.05,moderate,200,4,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.3818615751789976,0.9910714285714286,0.3955108359133127,0.9961734693877551,0.9883844968590731,1.0,0.9732142857142857,0.9821428571428571,0.12709342518609845,mu=0.003
occ_a0.05,moderate,200,4,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.3784,0.9910714285714286,0.4315866084425036,0.9961734693877551,0.9576605281633094,1.0,0.9732142857142857,0.9808673469387755,0.1271505806365116,mu=0.003
occ_a0.05,moderate,200,4,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.338160136286201,0.9910714285714286,0.994936758098918,0.9961734693877551,0.994992942859515,1.0,0.0,0.0,0.896886968058423,
occ_a0.05,moderate,200,4,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.7964369924024103,0.9910714285714286,0.9950194185282732,0.9961734693877551,0.9950004782705736,1.0,0.0,0.0,0.9121582159014376,
occ_a0.05,moderate,200,4,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.9942021415513189,0.9910714285714286,0.9949921451700812,0.9961734693877551,0.9949732956330506,1.0,0.0,0.0,0.998240377936226,
occ_a0.05,moderate,200,4,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.2492744149760269,43.61143424924008,0.9949749393694421,0.9910714285714286,0.9949923057194152,0.9961734693877551,0.9949873404772257,1.0,0.0,0.0,0.9902192223425523,
occ_a0.05,moderate,200,5,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.01631116687578419,0.9911504424778761,0.0186799501867995,0.9962073324905183,0.9803258301206318,1.0,0.4943109987357775,0.5018963337547409,0.9999999999999999,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,5,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.012594458438287154,0.9911504424778761,0.0186799501867995,0.9962073324905183,0.27630375114364136,1.0,0.4943109987357775,0.988621997471555,0.12514102404422997,mu=6.46
occ_a0.05,moderate,200,5,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.011349306431273645,0.9911504424778761,0.0186799501867995,0.9962073324905183,0.2795992714025501,1.0,0.4943109987357775,0.988621997471555,0.12521540121299704,mu=6.46
occ_a0.05,moderate,200,5,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.1692339461496273,43.90078523827852,0.011349306431273645,0.9911504424778761,0.0186799501867995,0.9962073324905183,0.2743119266055046,1.0,0.49557522123893805,0.988621997471555,0.12528732602848203,mu=6.46
