setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes,eff_fixed_tau,far_fixed_tau,tau_fixed
base,moderate,400,1,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.568033495157581,6.4319665048424,0.6647261750754636,0.99234205488194,0.668083297917552,0.9968091895341415,0.9975002512510708,1.0,0.0006381620931716,0.9240587109125716,0.0986574005171363,,,,
base,moderate,400,2,classical_invA,,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.7639320225002101,7.236067977499787,0.6475225225225225,0.9974506054811982,0.6475225225225225,0.9974506054811982,0.9974986449000416,1.0,0.0,0.0,1.0,fixed-tau 0.350: eff 0.9847 far 0.0986,,,
base,moderate,400,2,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.7639320225002101,7.236067977499787,0.6474431178193287,0.9974506054811982,0.6474431178193287,0.9974506054811982,0.9974986449000416,1.0,0.0031867431485022,0.9560229445506692,0.0865545442773833,mu=0.646,,,
base,moderate,400,2,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.7639320225002101,7.236067977499787,0.6473636773321316,0.9974506054811982,0.6473636773321316,0.9974506054811982,0.9974986449000416,1.0,0.0025493945188017,0.9572976418100702,0.0887150732426921,mu=1.39,,,
base,moderate,400,2,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.7639320225002101,7.236067977499787,0.6477349560513861,0.9961759082217974,0.6477349560513861,0.9961759082217974,0.9975002311648477,0.9993626513702996,0.89993626513703,0.904397705544933,0.2335008720577201,,,,
base,moderate,400,2,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.7639320225002101,7.236067977499787,0.9975208614328944,0.9910771191841936,0.9975097489661152,0.9955385595920968,0.9975002311648477,0.9993626513702996,0.89993626513703,0.904397705544933,0.883617393979044,,,,
base,moderate,400,2,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.7639320225002101,7.236067977499787,0.6472046889089269,0.9974506054811982,0.6472046889089269,0.9974506054811982,0.9974986449000416,1.0,0.0006373486297004,0.4582536647546207,0.1954032348333918,,,,
base,moderate,400,2,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,0.7639320225002101,7.236067977499787,0.645021645021645,0.992989165073295,0.6475225225225225,0.9974506054811982,0.9974986449000416,1.0,0.0006373486297004,0.9235181644359464,0.1010039744249418,,,,
base,moderate,400,3,classical_invA,,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.2762465831191614,6.723753416880843,0.6532596685082873,0.9974570883661792,0.6532596685082873,0.9974570883661792,0.9974986085712014,1.0,0.0031786395422759,0.0031786395422759,0.9999999999999998,fixed-tau 0.350: eff 0.9898 far 0.1036,,,
base,moderate,400,3,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.2762465831191614,6.723753416880843,0.6532596685082873,0.9974570883661792,0.6532596685082873,0.9974570883661792,0.9974986085712014,1.0,0.2555626191989828,0.958041958041958,0.0822459470275162,mu=0.139,,,
