n_trk,rep,n_true_clean,n_true_C,n_active_C,n_false_C,n_true_Q,n_active_Q,n_false_Q,n_true_total,n_false_total,success_prob,t_quantum,se_C,se_Q,fr_C,fr_Q
75,30001,300,279,279,0,272,278,6,289,21394,0.002543,33.12026333808899,93.0,90.66666666666667,0.0,2.158273381294964
75,30002,300,299,299,0,291,307,16,299,22126,0.002709,19.656142473220825,99.66666666666667,97.0,0.0,5.2117263843648205
75,30003,300,295,296,1,278,283,5,297,21979,0.002555,37.123196601867676,98.33333333333333,92.66666666666667,0.33783783783783783,1.7667844522968197
75,30004,300,283,283,0,278,294,16,291,21463,0.002591,17.069453954696655,94.33333333333333,92.66666666666667,0.0,5.442176870748299
75,30005,300,284,292,8,276,290,14,292,21611,0.002627,19.671250581741333,94.66666666666667,92.0,2.73972602739726,4.827586206896552
75,30006,300,287,289,2,284,298,14,293,21682,0.002594,16.676186323165894,95.66666666666667,94.66666666666667,0.6920415224913494,4.697986577181208
75,30007,300,300,300,0,283,290,7,300,22200,0.0026,19.1490581035614,100.0,94.33333333333333,0.0,2.413793103448276
75,30008,300,285,287,2,272,279,7,291,21538,0.00253,16.251126289367676,95.0,90.66666666666667,0.6968641114982579,2.5089605734767026
75,30009,300,294,294,0,285,299,14,296,21905,0.002557,39.519622802734375,98.0,95.0,0.0,4.682274247491639
100,30000,400,386,386,0,347,374,27,392,38812,0.001748,27.13227391242981,96.5,86.75,0.0,7.219251336898396
100,30001,400,390,390,0,343,361,18,394,39006,0.00167,19.511303186416626,97.5,85.75,0.0,4.986149584487535
100,30002,400,383,388,5,339,358,19,391,38712,0.00174,19.946642637252808,95.75,84.75,1.288659793814433,5.307262569832402
100,30003,400,393,393,0,345,355,10,395,39105,0.001759,26.230546236038208,98.25,86.25,0.0,2.816901408450704
100,30004,400,385,385,0,341,355,14,391,38712,0.001716,27.038002490997314,96.25,85.25,0.0,3.943661971830986
100,30005,400,391,393,2,356,367,11,395,39105,0.001797,27.150861024856567,97.75,89.0,0.5089058524173028,2.997275204359673
100,30006,400,375,375,0,340,354,14,385,38126,0.001619,33.19472789764404,93.75,85.0,0.0,3.9548022598870056
100,30007,400,396,396,0,361,371,10,398,39402,0.001789,60.48668837547302,99.0,90.25,0.0,2.6954177897574123
