comp,kind,lam,size
394,isolated_false,0.0,1
395,isolated_false,0.0,1
396,isolated_false,0.0,1
397,isolated_false,0.0,1
398,isolated_false,0.0,1
399,isolated_false,0.0,1
400,isolated_false,0.0,1
401,isolated_false,0.0,1
402,pure_true,-0.9999999999999998,4
402,pure_true,-0.49999999999999994,4
402,pure_true,0.4999999999999998,4
402,pure_true,1.0000000000000002,4
403,isolated_false,0.0,1
404,isolated_false,0.0,1
405,isolated_false,0.0,1
406,isolated_false,0.0,1
407,isolated_false,0.0,1
408,isolated_false,0.0,1
409,isolated_false,0.0,1
410,isolated_false,0.0,1
411,isolated_false,0.0,1
412,isolated_false,0.0,1
413,isolated_false,0.0,1
414,isolated_false,0.0,1
415,isolated_false,0.0,1
416,isolated_false,0.0,1
417,isolated_false,0.0,1
418,isolated_false,0.0,1
419,isolated_false,0.0,1
420,isolated_false,0.0,1
421,isolated_false,0.0,1
422,isolated_false,0.0,1
423,isolated_false,0.0,1
424,isolated_false,0.0,1
425,isolated_false,0.0,1
426,isolated_false,0.0,1
427,isolated_false,0.0,1
428,isolated_false,0.0,1
429,isolated_false,0.0,1
430,isolated_false,0.0,1
431,isolated_false,0.0,1
432,isolated_false,0.0,1
433,isolated_false,0.0,1
434,isolated_false,0.0,1
435,isolated_false,0.0,1
436,isolated_false,0.0,1
437,isolated_false,0.0,1
438,isolated_false,0.0,1
439,isolated_false,0.0,1
440,isolated_false,0.0,1
441,isolated_false,0.0,1
442,isolated_false,0.0,1
443,isolated_false,0.0,1
444,isolated_false,0.0,1
445,isolated_false,0.0,1
446,isolated_false,0.0,1
447,isolated_false,0.0,1
448,isolated_false,0.0,1
449,isolated_false,0.0,1
450,isolated_false,0.0,1
451,isolated_false,0.0,1
452,isolated_false,0.0,1
453,isolated_false,0.0,1
454,isolated_false,0.0,1
455,isolated_false,0.0,1
456,isolated_false,0.0,1
457,isolated_false,0.0,1
458,isolated_false,0.0,1
459,isolated_false,0.0,1
460,isolated_false,0.0,1
461,isolated_false,0.0,1
462,isolated_false,0.0,1
463,isolated_false,0.0,1
464,isolated_false,0.0,1
465,pure_false,-1.0,2
465,pure_false,1.0,2
466,isolated_false,0.0,1
467,isolated_false,0.0,1
468,isolated_false,0.0,1
469,isolated_false,0.0,1
470,isolated_false,0.0,1
471,isolated_false,0.0,1
472,isolated_false,0.0,1
473,isolated_false,0.0,1
474,isolated_false,0.0,1
475,isolated_false,0.0,1
476,isolated_false,0.0,1
477,isolated_false,0.0,1
