n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,qmax,n_reps,f1
50,0.45,0.98225,0.002677267853221778,0.9844788025122879,0.0034584693286888804,0.015521197487712015,0.0034584693286888787,2.6031047360978725,20,0.983363138356899
50,0.5,0.982,0.0027241609041279043,0.9844774942966941,0.003458262138574192,0.015522505703305944,0.0034582621385741905,2.6031047360978725,20,0.9832371864953501
50,0.55,0.982,0.0027241609041279043,0.9844774942966941,0.003458262138574192,0.015522505703305944,0.0034582621385741905,2.6031047360978725,20,0.9832371864953501
50,0.6,0.982,0.0027241609041279043,0.9844774942966941,0.003458262138574192,0.015522505703305944,0.0034582621385741905,2.6031047360978725,20,0.9832371864953501
50,0.65,0.982,0.0027241609041279043,0.9844774942966941,0.003458262138574192,0.015522505703305944,0.0034582621385741905,2.6031047360978725,20,0.9832371864953501
50,0.7,0.982,0.0027241609041279043,0.9844774942966941,0.003458262138574192,0.015522505703305944,0.0034582621385741905,2.6031047360978725,20,0.9832371864953501
50,0.75,0.9810000000000001,0.0029154759474226528,0.984457231303329,0.0034613586369471876,0.01554276869667107,0.003461358636947187,2.6031047360978725,20,0.9827255750237397
50,0.8,0.7434999999999999,0.0012085223687584258,0.9796660607518237,0.004511019400129223,0.020333939248176235,0.004511019400129224,2.6031047360978725,20,0.8453993294774913
50,0.85,0.7434999999999999,0.0012085223687584258,0.9796660607518237,0.004511019400129223,0.020333939248176235,0.004511019400129224,2.6031047360978725,20,0.8453993294774913
50,0.9,0.7434999999999999,0.0012085223687584258,0.9796660607518237,0.004511019400129223,0.020333939248176235,0.004511019400129224,2.6031047360978725,20,0.8453993294774913
50,0.95,0.7434999999999999,0.0012085223687584258,0.9796660607518237,0.004511019400129223,0.020333939248176235,0.004511019400129224,2.6031047360978725,20,0.8453993294774913
50,1.0,0.74325,0.001218011753465027,0.9796638236153585,0.004510663205534932,0.02033617638464156,0.004510663205534932,2.6031047360978725,20,0.8452368620204092
50,1.2,0.73875,0.0016573202847717137,0.9795905025191043,0.004517203770950503,0.020409497480895746,0.004517203770950507,2.6031047360978725,20,0.8422922961718906
50,1.4,0.727,0.0034105100714363007,0.9996575342465753,0.00034246575342465884,0.00034246575342465754,0.0003424657534246575,2.6031047360978725,20,0.8418010091553877
50,1.6,0.48525,0.0021907400816306723,1.0,0.0,0.0,0.0,2.6031047360978725,20,0.6534253492678
50,1.8,0.484,0.0022242680641174155,1.0,0.0,0.0,0.0,2.6031047360978725,20,0.6522911051212937
50,2.0,0.24500000000000002,0.0012030662579644703,1.0,0.0,0.0,0.0,2.6031047360978725,20,0.39357429718875503
50,2.2,0.24425,0.0010434633627845716,1.0,0.0,0.0,0.0,2.6031047360978725,20,0.3926059875426964
50,2.4,0.23975,0.0013315503429421937,1.0,0.0,0.0,0.0,2.6031047360978725,20,0.38677152651744306
