drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate
0.1,0.5,2,219,8230515,219,15,1.0,0.0641025641025641
0.1,0.5,3,204,7906200,204,12,1.0,0.0555555555555555
0.1,0.5,4,208,7774022,208,10,1.0,0.0458715596330275
0.1,0.5,5,219,8007729,219,9,1.0,0.0394736842105263
0.1,0.5,6,216,8399602,216,15,1.0,0.0649350649350649
0.1,0.5,7,220,8214541,220,10,1.0,0.0434782608695652
0.1,0.5,8,226,8049556,226,10,1.0,0.0423728813559322
0.1,0.5,9,214,8584230,214,8,1.0,0.036036036036036
0.2,0.0,0,160,1546211,159,0,0.99375,0.0
0.2,0.0,1,155,1539080,155,2,1.0,0.0127388535031847
0.2,0.0,2,149,1495840,149,6,1.0,0.0387096774193548
0.2,0.0,3,152,1559252,152,3,1.0,0.0193548387096774
0.2,0.0,4,150,1470298,150,4,1.0,0.0259740259740259
0.2,0.0,5,136,1317198,136,0,1.0,0.0
0.2,0.0,6,167,1664879,167,8,1.0,0.0457142857142857
0.2,0.0,7,162,1651698,162,1,1.0,0.0061349693251533
0.2,0.0,8,148,1518572,148,3,1.0,0.0198675496688741
0.2,0.0,9,154,1541282,154,7,1.0,0.0434782608695652
0.2,0.02,0,165,1707649,165,6,1.0,0.0350877192982456
0.2,0.02,1,150,1705500,150,1,1.0,0.0066225165562913
0.2,0.02,2,160,1781664,160,4,1.0,0.024390243902439
0.2,0.02,3,151,1594091,151,3,1.0,0.0194805194805194
0.2,0.02,4,156,1600828,156,3,1.0,0.0188679245283018
0.2,0.02,5,169,1798551,169,1,1.0,0.0058823529411764
0.2,0.02,6,159,1663113,159,4,1.0,0.0245398773006134
0.2,0.02,7,175,1820021,175,5,1.0,0.0277777777777777
0.2,0.02,8,164,1713952,164,0,1.0,0.0
0.2,0.02,9,147,1644943,147,2,1.0,0.0134228187919463
0.2,0.05,0,143,1774784,143,3,1.0,0.0205479452054794
0.2,0.05,1,158,1922368,158,4,1.0,0.0246913580246913
0.2,0.05,2,149,1849451,149,3,1.0,0.0197368421052631
0.2,0.05,3,125,1540849,125,2,1.0,0.0157480314960629
0.2,0.05,4,144,1708389,144,3,1.0,0.0204081632653061
0.2,0.05,5,175,2058305,175,4,1.0,0.0223463687150838
0.2,0.05,6,172,2071124,172,6,1.0,0.0337078651685393
0.2,0.05,7,141,1718109,141,9,1.0,0.06
0.2,0.05,8,146,1762682,146,3,1.0,0.0201342281879194
0.2,0.05,9,171,1973453,171,7,1.0,0.0393258426966292
0.2,0.1,0,146,2171002,146,5,1.0,0.0331125827814569
0.2,0.1,1,142,2037476,142,0,1.0,0.0
0.2,0.1,2,171,2487681,171,11,1.0,0.0604395604395604
0.2,0.1,3,166,2408162,166,2,1.0,0.0119047619047619
0.2,0.1,4,136,2018216,136,4,1.0,0.0285714285714285
0.2,0.1,5,177,2367846,177,6,1.0,0.0327868852459016
0.2,0.1,6,170,2378305,170,1,1.0,0.0058479532163742
0.2,0.1,7,149,2168053,149,4,1.0,0.0261437908496732
0.2,0.1,8,148,2071103,148,6,1.0,0.0389610389610389
0.2,0.1,9,156,2171596,156,5,1.0,0.031055900621118
0.2,0.2,0,169,2965703,169,6,1.0,0.0342857142857142
0.2,0.2,1,121,2665633,121,3,1.0,0.0241935483870967
0.2,0.2,2,171,3248449,171,8,1.0,0.0446927374301676
0.2,0.2,3,148,3023886,148,4,1.0,0.0263157894736842
0.2,0.2,4,161,3191599,161,4,1.0,0.0242424242424242
0.2,0.2,5,151,2896621,151,5,1.0,0.032051282051282
0.2,0.2,6,171,3293505,171,2,1.0,0.0115606936416184
0.2,0.2,7,137,2870839,137,6,1.0,0.0419580419580419
0.2,0.2,8,168,3243024,168,2,1.0,0.0117647058823529
0.2,0.2,9,144,2680390,144,2,1.0,0.0136986301369863
0.2,0.5,0,131,5953244,131,4,1.0,0.0296296296296296
0.2,0.5,1,144,6554376,144,14,1.0,0.0886075949367088
0.2,0.5,2,128,6304288,128,11,1.0,0.079136690647482
0.2,0.5,3,150,6509225,150,5,1.0,0.032258064516129
0.2,0.5,4,169,7053497,169,8,1.0,0.0451977401129943
0.2,0.5,5,151,7173449,151,13,1.0,0.0792682926829268
0.2,0.5,6,159,6778593,159,5,1.0,0.0304878048780487
0.2,0.5,7,149,6652147,149,6,1.0,0.0387096774193548
0.2,0.5,8,161,6479089,161,5,1.0,0.0301204819277108
0.2,0.5,9,161,6790402,161,14,1.0,0.08
