angle,n_tracks,scale,theta_d,measurement_error,collision_noise,convolution,epsilon,n_repeats,m_reconstruction_efficiency_mean,m_reconstruction_efficiency_se,m_ghost_rate_mean,m_ghost_rate_se,m_clone_fraction_total_mean,m_clone_fraction_total_se,m_clone_fraction_among_matched_mean,m_clone_fraction_among_matched_se,m_purity_all_matched_mean,m_purity_all_matched_se,m_purity_primary_only_mean,m_purity_primary_only_se,m_hit_efficiency_mean_mean,m_hit_efficiency_mean_se,m_hit_efficiency_weighted_mean,m_hit_efficiency_weighted_se,hit_purity_mean_primary_mean,hit_purity_mean_primary_se,hit_efficiency_mean_primary_mean,hit_efficiency_mean_primary_se,hit_efficiency_weighted_primary_mean,hit_efficiency_weighted_primary_se
0.04,10,1,0.01,0.0,5e-05,True,7.3824115301167e-05,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.01,0.0,0.0001,True,0.00014300349646075093,3,0.7333333333333334,0.2666666666666667,0.16666666666666666,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.01,0.0,0.0004,True,0.0005660830327787611,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.01,0.01,5e-05,True,0.0010523204394088015,3,0.7333333333333334,0.2666666666666667,0.16666666666666666,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.01,0.01,0.0001,True,0.0010594235730799712,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.01,0.01,0.0004,True,0.0011926350268198285,3,0.7666666666666666,0.23333333333333336,0.13333333333333333,0.13333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.01,0.05,5e-05,True,0.005249153951365971,3,0.5,0.23094010767585033,0.31746031746031744,0.19310357239041967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.965925925925926,0.02384218805841645,0.0,0.0,1.0,0.0,0.965925925925926,0.02384218805841645,0.0,0.0
0.04,10,1,0.01,0.05,0.0001,True,0.00525058255864442,3,0.6,0.3055050463303894,0.3333333333333333,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.33333333333333337,0.645,0.3225290684574028,0.0,0.0,0.6666666666666666,0.33333333333333337,0.645,0.3225290684574028,0.0,0.0
0.04,10,1,0.01,0.05,0.0004,True,0.005279073517686696,3,0.7666666666666666,0.12018504251546631,0.08928571428571429,0.04493949068613542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9771428571428572,0.011895234282663574,0.0,0.0,1.0,0.0,0.9771428571428572,0.011895234282663574,0.0,0.0
0.04,10,1,0.1,0.0,5e-05,True,7.3824115301167e-05,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,10,1,0.1,0.0,0.0001,True,0.00014300349646075093,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,10,1,0.1,0.0,0.0004,True,0.0005660830327787611,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,10,1,0.1,0.01,5e-05,True,0.0010523204394088015,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,10,1,0.1,0.01,0.0001,True,0.0010594235730799712,3,0.03333333333333333,0.03333333333333334,0.6666666666666666,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952380952381,0.23809523809523808,0.3333333333333333,0.33333333333333337,0.0,0.0,0.2380952380952381,0.23809523809523808,0.3333333333333333,0.33333333333333337,0.0,0.0
0.04,10,1,0.1,0.01,0.0004,True,0.0011926350268198285,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,10,1,0.1,0.05,5e-05,True,0.005249153951365971,3,0.10000000000000002,0.05773502691896258,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285715,0.2973808570665904,0.6666666666666666,0.33333333333333337,0.0,0.0,0.5714285714285715,0.2973808570665904,0.6666666666666666,0.33333333333333337,0.0,0.0
0.04,10,1,0.1,0.05,0.0001,True,0.00525058255864442,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
