solver,phi_max,sigma_scatt,n_trk,n_rep,n_valid,excluded_frac,density,eff,eff_sem,far,far_sem,pur,pur_sem,cos_QC
classical,0.2,0.0003,100,20,20,0.0,2499.9999999999995,100.0,0.0,0.172658873122074,0.10284473178602553,99.82734112687793,0.10284473178602578,
classical,0.2,0.0003,200,20,20,0.0,4999.999999999999,99.99375,0.0062499999999999995,0.25460202408134147,0.0719596988094569,99.74539797591866,0.0719596988094569,
classical,0.2,0.0003,400,20,20,0.0,9999.999999999998,99.984375,0.012724141735093052,0.6034562991913345,0.1101928481677477,99.39654370080868,0.11019284816774776,
classical,0.2,0.0003,700,20,20,0.0,17499.999999999996,99.99285714285715,0.004177840370467634,1.9279426725668358,0.10434688644810249,98.07205732743314,0.104346886448102,
classical,0.2,0.0003,1000,20,20,0.0,24999.999999999996,99.99375,0.0035702535661089447,4.669790701863583,0.21942555904009392,95.3302092981364,0.21942555904009486,
qsvt,0.01,0.0001,10,3,3,0.0,100000.0,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
qsvt,0.01,0.0001,20,3,3,0.0,200000.0,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189184303
qsvt,0.01,0.0001,50,3,3,0.0,500000.0,98.0,2.0,0.0,0.0,100.0,0.0,0.9904969842348597
qsvt,0.01,0.0001,100,3,3,0.0,1000000.0,90.33333333333333,2.8480012484391772,0.0,0.0,100.0,0.0,0.9193249868476311
qsvt,0.01,0.0001,200,3,3,0.0,2000000.0,76.66666666666667,1.3017082793177759,7.714301083813301,1.6015268053917826,92.28569891618669,1.601526805391777,0.8872673611512916
qsvt,0.01,0.0001,400,3,3,0.0,4000000.0,64.5625,10.345024468313257,72.38757268037784,2.0687276452540906,27.612427319622146,2.0687276452540906,0.6662774527046117
qsvt,0.01,0.0001,700,3,3,0.0,7000000.0,57.5,6.215653927101845,94.8410182599149,0.6360910328863766,5.158981740085097,0.6360910328863766,0.6765274155920297
qsvt,0.01,0.0001,1000,3,1,0.6666666666666667,10000000.0,,,,,,,
qsvt,0.01,0.0003,10,3,3,0.0,100000.0,84.16666666666667,8.207381501496755,1.11111111111111,1.1111111111111098,98.8888888888889,1.111111111111105,0.9229728942160561
qsvt,0.01,0.0003,20,3,3,0.0,200000.0,63.333333333333336,4.4095855184409825,0.0,0.0,100.0,0.0,0.7989874324782553
qsvt,0.01,0.0003,50,3,3,0.0,500000.0,59.166666666666664,2.2422706745122842,11.49565197952294,2.5239628869466517,88.50434802047705,2.523962886946656,0.7858446739023762
qsvt,0.01,0.0003,100,3,3,0.0,1000000.0,46.583333333333336,3.1435560189766694,81.35324479446071,1.5159444773712085,18.646755205539296,1.5159444773712056,0.669730908612555
qsvt,0.01,0.0003,200,3,1,0.6666666666666667,2000000.0,,,,,,,
qsvt,0.01,0.0003,400,3,0,1.0,4000000.0,,,,,,,
qsvt,0.01,0.0003,700,3,0,1.0,7000000.0,,,,,,,
qsvt,0.01,0.0003,1000,3,0,1.0,10000000.0,,,,,,,
qsvt,0.02,0.0001,10,3,3,0.0,25000.0,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
qsvt,0.02,0.0001,20,3,3,0.0,50000.0,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189184303
qsvt,0.02,0.0001,50,3,3,0.0,125000.0,97.33333333333333,0.6666666666666667,0.0,0.0,100.0,0.0,0.992014707120925
qsvt,0.02,0.0001,100,3,3,0.0,250000.0,96.0,1.1547005383792517,0.0,0.0,100.0,0.0,0.9808664013236772
qsvt,0.02,0.0001,200,3,3,0.0,500000.0,91.66666666666667,1.6666666666666667,0.09233610341643333,0.09233610341643333,99.90766389658357,0.09233610341643347,0.9425787863917797
