task,n_tracks,angle,sigma_scatt,sigma_res,epsilon,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s
verify_scatt,50,0.2,0.0004,0.0,0.0016971888521905864,20,0.9480000000000001,0.04889085588812784,0.2186465544879994,0.001020408163265306,0.0010204081632653062,0.004563404035713857,0.0,0.0,0.0,0.9857142857142858,0.014285714285714285,0.06388765649999399,1.0,0.0,0.0,93.69
verify_scatt,100,0.2,0.0004,0.0,0.0016971888521905864,20,0.924,0.0498439670635432,0.22290899724468635,0.048187634774713425,0.0436936751750976,0.19540405575662653,0.0,0.0,0.0,0.9916666666666668,0.00833333333333333,0.03726779962499648,1.0,0.0,0.0,1259.25
verify_scatt,10,0.2,0.0006,0.0,0.002545672799084753,20,0.975,0.017584383023461173,0.07863975156570492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.79
verify_scatt,20,0.2,0.0006,0.0,0.002545672799084753,20,0.9949999999999999,0.004999999999999998,0.02236067977499789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.02
verify_scatt,50,0.2,0.0006,0.0,0.002545672799084753,20,0.9800000000000001,0.011424811411549588,0.05109330989268041,0.001020408163265306,0.0010204081632653062,0.004563404035713857,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,114.33
verify_scatt,100,0.2,0.0006,0.0,0.002545672799084753,20,0.9734999999999999,0.013003542027584554,0.05815360784390902,0.000505050505050505,0.000505050505050505,0.0022586545227270606,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1240.5
verify_scatt,10,0.2,0.0008,0.0,0.0033941788403088016,20,0.99,0.009999999999999998,0.04472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.64
verify_scatt,20,0.2,0.0008,0.0,0.0033941788403088016,20,0.96,0.016463676125912683,0.0736277979541623,0.002631578947368421,0.0026315789473684214,0.011768778828946263,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.6
verify_scatt,50,0.2,0.0008,0.0,0.0033941788403088016,20,0.9809999999999999,0.009566938684316614,0.0427846504694087,0.006295230858300767,0.003781620143651742,0.01691191941257563,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,101.87
verify_scatt,100,0.2,0.0008,0.0,0.0033941788403088016,20,0.9705,0.012721200704667033,0.056890939062107425,0.00412436217848589,0.0021839890434121514,0.00976709592636862,0.0,0.0,0.0,1.0,0.0,0.0,0.9998958333333334,0.00010416666666666631,0.0004658474953124546,880.55
verify_scatt,10,0.2,0.001,0.0,0.004242693719796422,20,0.99,0.009999999999999998,0.04472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.63
verify_scatt,20,0.2,0.001,0.0,0.004242693719796422,20,0.97,0.016780314280978797,0.0750438468321582,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.95
verify_scatt,50,0.2,0.001,0.0,0.004242693719796422,20,0.8949999999999999,0.0670251327566953,0.2997455060898372,0.06768707482993197,0.05180674621428529,0.2316868124564436,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,116.96000000000001
verify_scatt,100,0.2,0.001,0.0,0.004242693719796422,20,0.907,0.05037804450771241,0.22529746418550978,0.024819010987275205,0.01173047781975718,0.052460291627061166,0.0,0.0,0.0,1.0,0.0,0.0,0.9999,0.00010000000000000009,0.00044721359549995833,1261.42
