task,n_tracks,angle,sigma_scatt,sigma_res,epsilon,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s
verify_res,20,0.02,0.0001,0.015,0.0047428337441630134,20,0.6575,0.07073625959189976,0.3163421698431188,0.19180491056071552,0.06484995450404703,0.29001781321763564,0.0,0.0,0.0,0.9,0.06882472016116853,0.30779350562554625,0.9,0.06882472016116853,0.30779350562554625,6.15
verify_res,50,0.02,0.0001,0.015,0.0047428337441630134,20,0.37099999999999994,0.07085158691533347,0.31685792931284057,0.3626904520443073,0.0960430336021148,0.4295175037992504,0.0,0.0,0.0,0.7,0.10513149660756935,0.4701623459816272,0.6994117647058824,0.10504476068950522,0.46977445116386274,114.28
verify_res,100,0.02,0.0001,0.015,0.0047428337441630134,20,0.06050000000000001,0.023231953947322775,0.10389645655271659,0.564940039676348,0.09399114333651092,0.4203411715667296,0.0,0.0,0.0,0.55,0.11413288653790232,0.5104177855340405,0.55,0.11413288653790232,0.5104177855340405,1051.62
verify_res,10,0.02,0.0001,0.02,0.006312668537322595,20,0.775,0.05374158440850848,0.2403396719119356,0.09420634920634921,0.027393880206956694,0.12250915662048235,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.61
verify_res,20,0.02,0.0001,0.02,0.006312668537322595,20,0.53,0.08851107572680264,0.3958335641735246,0.2584014901507162,0.071743985061735,0.3208488551495378,0.0,0.0,0.0,0.8976190476190476,0.06868368352718071,0.3071627706237172,0.9,0.06882472016116853,0.30779350562554625,6.61
verify_res,50,0.02,0.0001,0.02,0.006312668537322595,20,0.209,0.05147252716383351,0.23019213942407238,0.43361555760581244,0.09128450814920507,0.4082367310285121,0.0,0.0,0.0,0.7,0.10513149660756935,0.4701623459816272,0.7,0.10513149660756935,0.4701623459816272,84.44
verify_res,100,0.02,0.0001,0.02,0.006312668537322595,20,0.0165,0.007478917737635292,0.033446736918962904,0.7630128205128205,0.08405270706096016,0.37589513336236696,0.0,0.0,0.0,0.3,0.10513149660756935,0.4701623459816272,0.3,0.10513149660756935,0.4701623459816272,1109.46
verify_res,10,0.02,0.0001,0.03,0.009457071732672446,20,0.695,0.06508092128872696,0.2910507280798134,0.17388888888888893,0.049722834783380826,0.22236727721926114,0.0,0.0,0.0,0.95,0.05,0.223606797749979,0.95,0.05,0.223606797749979,0.7
verify_res,20,0.02,0.0001,0.03,0.009457071732672446,20,0.36250000000000004,0.06755845422182265,0.3021305921896062,0.32578060312580437,0.06424727901704844,0.28732256650303234,0.0,0.0,0.0,0.9,0.06882472016116853,0.30779350562554625,0.9,0.06882472016116853,0.30779350562554625,6.07
verify_res,50,0.02,0.0001,0.03,0.009457071732672446,20,0.011,0.005326201371768774,0.023819496658255217,0.825,0.06337833119842362,0.28343651372034184,0.0,0.0,0.0,0.3,0.10513149660756935,0.4701623459816272,0.3,0.10513149660756935,0.4701623459816272,124.07
verify_res,100,0.02,0.0001,0.03,0.009457071732672446,20,0.0005,0.0005,0.00223606797749979,0.975,0.025000000000000005,0.11180339887498951,0.0,0.0,0.0,0.05,0.04999999999999999,0.22360679774997894,0.05,0.04999999999999999,0.22360679774997894,1997.03
verify_res,10,0.02,0.0001,0.05,0.015751537045137484,20,0.375,0.0691584755242776,0.3092861049850803,0.4019444444444444,0.07481759821024273,0.3345944710227387,0.0,0.0,0.0,0.7982142857142858,0.09157864064358426,0.409552131532159,0.8,0.0917662935482247,0.41039134083406165,0.81
verify_res,20,0.02,0.0001,0.05,0.015751537045137484,20,0.0875,0.027114523201064267,0.1212598341101498,0.6445670995670996,0.07773696065715074,0.3476502567872316,0.0,0.0,0.0,0.5416666666666667,0.11269881717131225,0.5040044323577495,0.55,0.11413288653790231,0.5104177855340404,7.029999999999999
verify_res,50,0.02,0.0001,0.05,0.015751537045137484,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.15
verify_res,100,0.02,0.0001,0.05,0.015751537045137484,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451.6399999999999
verify_res,10,0.2,0.0001,0.0,0.0004247940677551889,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.79
verify_res,20,0.2,0.0001,0.0,0.0004247940677551889,20,0.9974999999999999,0.002500000000000002,0.011180339887498957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.96
verify_res,50,0.2,0.0001,0.0,0.0004247940677551889,20,0.974,0.013306112564492583,0.059506744420938944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,90.94
verify_res,100,0.2,0.0001,0.0,0.0004247940677551889,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999,0.00010000000000000009,0.00044721359549995833,1285.96
