sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.01,0.0001,700,sol_cc9477b560b7498d,ev_65045943f1eb,hm_844cdcf42c7e,2.491551637649536,False
0.0,0.0001,200,sol_7f60afade2ce2257,ev_650e35069cb3,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,10,sol_702531f7e8f7d8a0,ev_652409f9cdb0,hm_3298667cddaa,0.4545454680919647,False
0.02,0.0005,400,sol_e29e992248b1e495,ev_656fbd42bc91,hm_f442e5139114,3.3713126182556152,False
0.02,0.0003,100,sol_dc1896ba45fdc201,ev_6597c6d15650,hm_1602ff939866,0.5999135375022888,False
0.02,0.0005,200,sol_88dfe5f0d958086e,ev_65ab14da525d,hm_f442e5139114,0.6982426643371582,False
0.05,0.0001,400,sol_af7f26a218786deb,ev_661555bb9fd4,hm_9108b6e19b67,20.07082748413086,False
0.02,0.0005,1000,sol_426008618fad08ca,ev_661e293cdf6d,hm_f442e5139114,4.6921539306640625,False
0.02,0.0001,1000,sol_aec49e9272e6002f,ev_66474298dde1,hm_979a58ab8892,183.59970092773438,True
0.02,0.0005,1000,sol_012612b801a0e9c2,ev_6663bc03ed5b,hm_f442e5139114,6.29021692276001,False
0.0,0.0003,1000,sol_c9dd0ee9073b3c0b,ev_667e24d868e1,hm_a0f8ed47a107,1.221315622329712,False
0.02,0.0001,10,sol_3f43b20c84934e1e,ev_66ccd60f4c09,hm_979a58ab8892,0.4545454680919647,False
0.02,0.0001,20,sol_5e3b1f10e7ff2dd5,ev_66d11ce52b65,hm_979a58ab8892,0.4545454680919647,False
0.01,0.0003,100,sol_145fc5352cd04e64,ev_67248a09f865,hm_3298667cddaa,0.5669742822647095,False
0.02,0.0001,400,sol_83b971fabeff1916,ev_67bbc8b42735,hm_979a58ab8892,2.1086537837982178,False
0.02,0.0003,400,sol_6869ed7941b51915,ev_67d1b8f1b588,hm_1602ff939866,2.188295602798462,False
0.0,0.0003,700,sol_00ca1e65c2d9ba2d,ev_67f59de8f93e,hm_a0f8ed47a107,0.7955443263053894,False
0.02,0.0003,700,sol_d5c19c0b23646b62,ev_6800d539a74a,hm_1602ff939866,5.017767906188965,False
0.02,0.0003,10,sol_94c548f53047a806,ev_681689cc53cb,hm_1602ff939866,0.4545454680919647,False
0.02,0.0003,200,sol_9b5f101d91c4780b,ev_6821f17b598d,hm_1602ff939866,1.05159592628479,False
0.01,0.0001,100,sol_33e04452742e3e26,ev_6834c2d1875d,hm_844cdcf42c7e,0.5669743418693542,False
0.05,0.0003,700,sol_3969be42d3af37cc,ev_683e3dde8bf9,hm_8c986396d3ec,536.0,True
0.02,0.0001,700,sol_91fb3b4ec7cc53ea,ev_68689ddce991,hm_979a58ab8892,16.977338790893555,False
0.02,0.0003,700,sol_f06ac80c2074e17d,ev_686a01a50111,hm_1602ff939866,3.1872308254241943,False
0.0,0.0001,200,sol_065e4f7c4efa98c7,ev_6876a256215f,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,1000,sol_fa1046de17a8f116,ev_690c413abe4f,hm_979a58ab8892,36.500003814697266,False
0.05,0.0003,100,sol_2498018eab905e04,ev_692ccc9440d4,hm_8c986396d3ec,2.1087241172790527,False
0.0,0.0003,1000,sol_ec4f57e435679866,ev_694f7365fafa,hm_a0f8ed47a107,0.8711328506469727,False
0.0,0.0001,20,sol_f3caa11fdbc5ec8e,ev_6953dfa2aa9b,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,700,sol_3ae18adaff51c4c0,ev_699164c8811b,hm_979a58ab8892,36.63701248168945,False
0.0,0.0005,700,sol_9657e006fbb08175,ev_699b44ff5e7a,hm_7a9cff01f511,1.4118549823760986,False
0.0,0.0003,1000,sol_777cea1831906604,ev_69b0349ab7b2,hm_a0f8ed47a107,1.052424430847168,False
