phi_max,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.02,0.0003,400,sol_15f12bf6ab75a8a1,ev_004fb6bc4470,hm_a0f8ed47a107,47.18967056274414,False
0.01,0.0003,400,sol_5c4615ea9ca535e0,ev_005824e1ecc7,hm_a0f8ed47a107,2989.96728515625,True
0.2,0.0001,10,sol_89a4398a3835849c,ev_0092425c14a8,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,200,sol_e5cd1a417143ef87,ev_011e3aee6b91,hm_a0f8ed47a107,32.47254943847656,False
0.1,0.0001,200,sol_c135f1796ae6555d,ev_014f24938ba1,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0003,200,sol_e27f0f7ca52cfd24,ev_018b70186449,hm_a0f8ed47a107,0.5669738054275513,False
0.01,0.0001,700,sol_bbf60745f8c4e6f5,ev_0197a1aceee2,hm_a00ad2a2c52a,9.34940242767334,False
0.05,0.0001,100,sol_87a16deb00c30dd4,ev_020c2766b7ff,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,50,sol_ff889d9d447eb758,ev_02288b84744d,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0001,400,sol_ba9469538e01d1ac,ev_02492068e260,hm_a00ad2a2c52a,1.4827520847320557,False
0.1,0.0003,20,sol_7e8c2541f11d03f2,ev_0280d8f19e2e,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0001,50,sol_4d24db5db6068ea4,ev_0291839a461f,hm_a00ad2a2c52a,0.6851834058761597,False
0.2,0.0001,400,sol_eed1da275a024b4e,ev_02d9749d4aea,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0001,50,sol_edc38f2e2a39d332,ev_02de7841d966,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,1000,sol_e22b2fcbdd04649e,ev_032968119bc4,hm_a00ad2a2c52a,56.48749542236328,True
0.02,0.0003,200,sol_71e0c18707fce64e,ev_03ed635d037c,hm_a0f8ed47a107,1.1586122512817383,False
0.01,0.0001,10,sol_0935cc523e33dbd8,ev_04119931bec7,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,100,sol_ef3c2e4bfeeb1507,ev_0455632c7ab1,hm_a00ad2a2c52a,0.6000000238418579,False
0.2,0.0001,100,sol_8f7bf1c5f1a86f7e,ev_0466dd3cefb4,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0003,50,sol_b426d008b1206914,ev_0494bee78efa,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0003,50,sol_40747f1a2d7c8234,ev_049a29fb01ac,hm_a0f8ed47a107,0.5998753905296326,False
0.01,0.0001,700,sol_7f9ff320600a4088,ev_04d3e6a92d7f,hm_a00ad2a2c52a,9.366130828857422,False
0.01,0.0003,700,sol_2e905a2c08685056,ev_04fda819c89c,hm_a0f8ed47a107,843.7610473632812,True
0.1,0.0003,100,sol_1b9609e6331e4079,ev_04fe51084e5f,hm_a0f8ed47a107,0.4545454680919647,False
0.2,0.0001,200,sol_19cdf46eeaf2d386,ev_050262f38bfd,hm_a00ad2a2c52a,0.6000000238418579,False
0.1,0.0003,100,sol_2c8c23f7fa3b74e1,ev_0540c35b073e,hm_a0f8ed47a107,0.4545454680919647,False
0.1,0.0003,10,sol_f348a45663b89f0b,ev_0549b56f2f79,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0001,1000,sol_57eb8acc8f6f28c3,ev_055659e0b50b,hm_a00ad2a2c52a,1.3445838689804077,False
0.1,0.0001,400,sol_ad630dfaad5c3885,ev_05729f3b17be,hm_a00ad2a2c52a,0.5669738054275513,False
0.2,0.0003,50,sol_59ce4e83ac52e6ce,ev_0583bf9687d9,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0003,20,sol_539ee0ded278c314,ev_05d96be79c14,hm_a0f8ed47a107,0.5670102834701538,False
0.01,0.0001,100,sol_ff925684a7e32e6c,ev_05ee52b5e76f,hm_a00ad2a2c52a,0.5998535752296448,False
0.1,0.0001,400,sol_8538b838d8644c3b,ev_05f689af6b09,hm_a00ad2a2c52a,0.730216383934021,False
0.2,0.0003,100,sol_696ca17a24eac465,ev_061321dbe3aa,hm_a0f8ed47a107,0.4545454680919647,False
0.1,0.0001,700,sol_88de992c0904123e,ev_066122bebf79,hm_a00ad2a2c52a,0.5996274352073669,False
0.1,0.0003,50,sol_07df4affa1acae27,ev_0663d9cd12fd,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0001,10,sol_5b822be12b880c2d,ev_06787380e81c,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0001,10,sol_a9e3597fe7523564,ev_068105e46f52,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,200,sol_8e19c1582c229533,ev_0681d16beb8f,hm_a0f8ed47a107,6.411739349365234,False
0.01,0.0001,10,sol_c1d4fca8e3ec43dc,ev_06945b9afd21,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0001,1000,sol_f8db198257590875,ev_06b9c78b082e,hm_a00ad2a2c52a,0.5641240477561951,False
