hit_ineff,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.01,0.0005,20,sol_f775f7c3102ccb0b,ev_e33b9ced2bf4,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.0005,100,sol_47dae98384fe7c2b,ev_e34228eb9153,hm_7a9cff01f511,0.45454463362693787,False
0.01,0.0005,700,sol_74b0d352c8ce3f60,ev_e350fcabd25e,hm_7a9cff01f511,1.141301155090332,False
0.05,0.0003,700,sol_16ca6d97850d2cf7,ev_e35168d5c059,hm_a0f8ed47a107,0.5990335941314697,False
0.01,0.001,200,sol_6c1fe875ecea458b,ev_e355f4db3d6d,hm_8de6b26636d5,0.9752376079559326,False
0.0,0.001,1000,sol_4c56901862e4a43c,ev_e358e294e2cd,hm_8de6b26636d5,11.820093154907227,False
0.05,0.0007,700,sol_7d8e27f495477242,ev_e36764110fee,hm_b46918a75620,0.9256505966186523,False
0.1,0.0001,50,sol_e56f36f41bbcbfc1,ev_e3804d8906ec,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.001,400,sol_7ab3362cdd30e52f,ev_e398284137eb,hm_8de6b26636d5,1.1077518463134766,False
0.05,0.001,1000,sol_6be978e9b9ca12ed,ev_e3a967c01127,hm_8de6b26636d5,2.345665216445923,False
0.01,0.0001,50,sol_6ad80a2fb6bde2ed,ev_e3bf78c8134c,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,100,sol_cc503c1493998068,ev_e3bf99659821,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0001,200,sol_22417d75f7fc65ff,ev_e3cb531dbb40,hm_a00ad2a2c52a,0.5669152140617371,False
0.0,0.0001,20,sol_1d7b5d8b3fc70e97,ev_e3cf23a61837,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0003,20,sol_74cd0c99c49a3824,ev_e3db35d0256a,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0007,700,sol_6fb2da4f4d56a950,ev_e3f580f9ce40,hm_b46918a75620,1.9646960496902466,False
0.1,0.0007,10,sol_a4966a5016606968,ev_e43f5fc9902a,hm_b46918a75620,0.4545454680919647,False
0.05,0.001,400,sol_e894fa066caba95d,ev_e4481900682c,hm_8de6b26636d5,0.7826922535896301,False
0.1,0.0007,700,sol_061b38620660e1aa,ev_e45b5d4d9af2,hm_b46918a75620,0.901836633682251,False
0.02,0.0003,50,sol_68c89f04f9b281ae,ev_e46093960db4,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0003,700,sol_ed088af085e8dab6,ev_e472220b0968,hm_a0f8ed47a107,0.5999192595481873,False
0.01,0.0007,400,sol_9014e2ca09d4dddc,ev_e47aa90730ab,hm_b46918a75620,0.5998507738113403,False
