shots,n_trk,rep,who,drop_rate,n_true_all,n_true_clean,n_false_all,n_active,n_true_active,n_false_active,eff_pct,fr_pct,cos,jaccard,t_classical,t_quantum,success_prob,n_seg
8192,75,30,Q,0.0,300,300,22200,21,21,0,7.0,0.0,0.05144020307614921,0.0695364238410596,0.0009837150573730469,11.298531293869019,0.002685546875,22500
8192,75,31,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.058269498222124266,0.08278145695364239,0.0010406970977783203,15.011263370513916,0.0032958984375,22500
8192,75,31,Q,0.0,300,300,22200,27,25,2,8.333333333333334,7.407407407407407,0.058269498222124266,0.08278145695364239,0.0010406970977783203,15.011263370513916,0.0032958984375,22500
8192,75,32,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04783437610618814,0.05647840531561462,0.0010535717010498047,14.806342840194702,0.002197265625,22500
8192,75,32,Q,0.0,300,300,22200,18,17,1,5.666666666666667,5.555555555555555,0.04783437610618814,0.05647840531561462,0.0010535717010498047,14.806342840194702,0.002197265625,22500
8192,75,33,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.04692814839196235,0.056666666666666664,0.0006988048553466797,9.140210390090942,0.002197265625,22500
8192,75,33,Q,0.0,300,300,22200,17,17,0,5.666666666666667,0.0,0.04692814839196235,0.056666666666666664,0.0006988048553466797,9.140210390090942,0.002197265625,22500
8192,75,34,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.05939608240763297,0.09333333333333334,0.0016541481018066406,15.580718994140625,0.003662109375,22500
8192,75,34,Q,0.0,300,300,22200,28,28,0,9.333333333333334,0.0,0.05939608240763297,0.09333333333333334,0.0016541481018066406,15.580718994140625,0.003662109375,22500
8192,75,35,C,0.0,300,300,22200,300,300,0,100.0,0.0,0.05300402915283283,0.07333333333333333,0.0011451244354248047,16.399479866027832,0.0028076171875,22500
8192,75,35,Q,0.0,300,300,22200,22,22,0,7.333333333333333,0.0,0.05300402915283283,0.07333333333333333,0.0011451244354248047,16.399479866027832,0.0028076171875,22500
