T,rep,n_bins,eff,ghost,n_cand,t_ms
50,7,256,1.0,0.0,50,13.516664505004885
50,7,512,1.0,0.0,50,30.29680252075196
50,7,1024,1.0,0.0,50,94.85125541687012
50,7,2048,1.0,0.0,50,343.4948921203613
50,8,64,0.86,0.0227272727272727,44,9.600162506103516
50,8,128,0.94,0.0,47,10.518074035644531
50,8,256,0.98,0.0,49,13.300657272338867
50,8,512,1.0,0.0,50,33.24103355407715
50,8,1024,1.0,0.0,50,104.49790954589844
50,8,2048,1.0,0.0,50,356.4796447753906
50,9,64,0.82,0.0465116279069767,43,9.562969207763672
50,9,128,0.98,0.0,49,11.28220558166504
50,9,256,1.0,0.0,50,15.95163345336914
50,9,512,0.94,0.0,47,35.32695770263672
50,9,1024,0.56,0.0,28,107.7420711517334
50,9,2048,0.22,0.0,11,403.6400318145752
100,0,64,0.67,0.0147058823529411,68,14.487981796264648
100,0,128,0.87,0.0113636363636363,88,19.49405670166016
100,0,256,0.94,0.0208333333333333,96,24.95336532592773
100,0,512,0.96,0.0,96,44.87252235412598
100,0,1024,0.95,0.0,95,117.0797348022461
100,0,2048,0.49,0.0,49,376.3997554779053
100,1,64,0.8,0.0,80,16.881465911865234
100,1,128,0.99,0.0,99,21.265268325805664
100,1,256,1.0,0.0,100,24.888038635253903
100,1,512,1.0,0.0,100,43.36977005004883
100,1,1024,1.0,0.0,100,113.8143539428711
100,1,2048,1.0,0.0,100,386.8367671966553
100,2,64,0.66,0.0294117647058823,68,14.803409576416016
100,2,128,0.87,0.0113636363636363,88,19.4246768951416
100,2,256,0.95,0.0104166666666666,96,24.727821350097656
100,2,512,0.97,0.010204081632653,98,45.36771774291992
100,2,1024,0.97,0.0,97,117.4907684326172
100,2,2048,0.3,0.0,30,387.8154754638672
100,3,64,0.68,0.0144927536231884,69,14.609098434448242
100,3,128,0.95,0.0,95,20.334243774414062
100,3,256,0.99,0.0,99,24.5208740234375
100,3,512,1.0,0.0,100,44.39425468444824
100,3,1024,0.97,0.0,97,116.2118911743164
100,3,2048,0.81,0.0,81,380.4130554199219
100,4,64,0.8,0.0,80,17.334699630737305
100,4,128,0.97,0.0,97,19.61970329284668
100,4,256,0.99,0.0,99,25.19536018371582
100,4,512,1.0,0.0,100,44.72541809082031
100,4,1024,1.0,0.0,100,116.6388988494873
100,4,2048,1.0,0.0,100,393.0130004882813
100,5,64,0.69,0.0547945205479452,73,15.528678894042969
100,5,128,0.89,0.0111111111111111,90,19.45734024047852
100,5,256,0.97,0.010204081632653,98,24.71709251403809
100,5,512,0.92,0.0,92,46.1726188659668
100,5,1024,0.94,0.0,94,120.6519603729248
100,5,2048,0.31,0.0,31,393.4180736541748
100,6,64,0.67,0.0289855072463768,69,14.73689079284668
100,6,128,0.86,0.0337078651685393,89,19.55747604370117
100,6,256,0.94,0.0208333333333333,96,25.501251220703125
100,6,512,0.92,0.010752688172043,93,45.52459716796875
100,6,1024,0.78,0.0126582278481012,79,117.15865135192873
100,6,2048,0.22,0.0434782608695652,23,381.1442852020264
100,7,64,0.78,0.0,78,16.668081283569336
100,7,128,0.93,0.0106382978723404,94,20.491600036621094
100,7,256,0.99,0.0,99,25.107383728027344
100,7,512,1.0,0.0,100,43.99824142456055
100,7,1024,1.0,0.0,100,114.8834228515625
100,7,2048,0.97,0.0,97,377.1629333496094
100,8,64,0.65,0.0441176470588235,68,14.750480651855469
100,8,128,0.91,0.0108695652173913,92,20.435571670532227
100,8,256,0.94,0.0105263157894736,95,24.48129653930664
100,8,512,0.99,0.0,99,45.80569267272949
100,8,1024,0.95,0.0,95,117.63882637023926
100,8,2048,0.72,0.0,72,391.913652420044
100,9,64,0.68,0.0555555555555555,72,15.40207862854004
100,9,128,0.9,0.0109890109890109,91,19.91581916809082
100,9,256,0.94,0.0105263157894736,95,26.30162239074707
100,9,512,1.0,0.0,100,46.982526779174805
100,9,1024,0.59,0.0,59,118.21413040161131
100,9,2048,0.17,0.0,17,394.1655158996582
200,0,64,0.52,0.0095238095238095,105,22.899389266967773
200,0,128,0.855,0.005813953488372,172,36.74125671386719
200,0,256,0.965,0.0,193,43.49756240844727
200,0,512,0.995,0.0,199,65.39583206176758
200,0,1024,0.945,0.0,189,126.90186500549316
200,0,2048,0.795,0.0,159,408.51759910583496
200,1,64,0.55,0.0,110,23.62537384033203
200,1,128,0.865,0.0,173,36.5753173828125
200,1,256,0.985,0.0,197,44.1274642944336
200,1,512,1.0,0.0,200,63.86995315551758
200,1,1024,1.0,0.0,200,137.50100135803223
200,1,2048,1.0,0.0,200,410.3546142578125
200,2,64,0.52,0.0,104,23.24771881103516
200,2,128,0.925,0.0,185,39.58702087402344
200,2,256,0.985,0.005050505050505,198,45.96424102783203
200,2,512,0.99,0.0050251256281407,199,64.74018096923828
200,2,1024,0.99,0.0050251256281407,199,135.43462753295898
200,2,2048,0.99,0.0050251256281407,199,398.6775875091553
200,3,64,0.445,0.0219780219780219,91,20.38741111755371
200,3,128,0.8,0.0123456790123456,162,34.807443618774414
200,3,256,0.925,0.0106951871657754,187,43.740272521972656
200,3,512,0.995,0.0,199,65.30046463012695
200,3,1024,0.995,0.0,199,142.6708698272705
200,3,2048,0.955,0.0,191,408.31875801086426
200,4,64,0.485,0.0396039603960396,101,22.40872383117676
200,4,128,0.835,0.0402298850574712,174,37.40715980529785
200,4,256,0.925,0.0211640211640211,189,44.69895362854004
200,4,512,0.975,0.0051020408163265,196,69.43631172180176
200,4,1024,0.94,0.0052910052910052,189,146.47293090820312
200,4,2048,0.48,0.0,96,422.27959632873535
200,5,64,0.45,0.0909090909090909,99,22.53866195678711
