config,T,rep,eff,ghost,clone,t_ms
point 1024,700,2,0.9457142857142857,0.0015082956259426848,0.0,401.963472366333
locus 1024,700,2,0.9157142857142857,0.012326656394453005,0.0,728.8699150085449
locus 2048,700,2,0.9542857142857143,0.007429420505200594,0.0,1176.1424541473389
point 256,700,3,0.8085714285714286,0.04067796610169491,0.0,210.30616760253906
point 1024,700,3,0.9371428571428572,0.004552352048558422,0.0,440.07349014282227
locus 1024,700,3,0.89,0.01889763779527559,0.0,777.3425579071045
locus 2048,700,3,0.9314285714285714,0.01361573373676248,0.0,1482.2561740875244
point 256,700,4,0.8028571428571428,0.03270223752151463,0.0,237.8528118133545
point 1024,700,4,0.9828571428571429,0.001451378809869376,0.0,485.2323532104492
locus 1024,700,4,0.8971428571428571,0.017214397496087636,0.0,804.9702644348145
locus 2048,700,4,0.94,0.012012012012012012,0.0,1333.7037563323975
point 256,700,5,0.7628571428571429,0.07452339688041594,0.0,226.72080993652344
point 1024,700,5,0.6385714285714286,0.03870967741935484,0.0,474.9293327331543
locus 1024,700,5,0.8771428571428571,0.02694136291600634,0.0,890.594482421875
locus 2048,700,5,0.93,0.013636363636363636,0.0,1377.1960735321045
point 256,700,6,0.89,0.0,0.0,225.50606727600098
point 1024,700,6,0.9942857142857143,0.0,0.0,387.51721382141113
locus 1024,700,6,0.9042857142857142,0.015552099533437015,0.0,810.1558685302734
locus 2048,700,6,0.9528571428571428,0.00744047619047619,0.0,1307.5289726257324
point 256,700,7,0.82,0.018803418803418803,0.0,209.87296104431152
point 1024,700,7,0.97,0.01020408163265306,0.0,413.09642791748047
locus 1024,700,7,0.9028571428571428,0.020155038759689922,0.0,844.8710441589355
locus 2048,700,7,0.9471428571428572,0.014858841010401188,0.0,1428.89404296875
point 256,700,8,0.8442857142857143,0.01990049751243781,0.0,217.66996383666992
point 1024,700,8,0.98,0.0043541364296081275,0.0,284.2092514038086
locus 1024,700,8,0.8985714285714286,0.01564945226917058,0.0,519.6874141693115
locus 2048,700,8,0.9485714285714286,0.004497751124437781,0.0,865.2427196502686
point 256,700,9,0.7914285714285715,0.048109965635738834,0.0,119.89593505859375
point 1024,700,9,0.9157142857142857,0.006201550387596899,0.0,241.82820320129395
locus 1024,700,9,0.9114285714285715,0.01694915254237288,0.0,466.2971496582031
locus 2048,700,9,0.9414285714285714,0.014947683109118086,0.0,841.8960571289062
point 256,1000,0,0.712,0.08129032258064516,0.0,146.38924598693848
point 1024,1000,0,0.925,0.01700318809776833,0.0,369.8577880859375
locus 1024,1000,0,0.836,0.032407407407407406,0.0,625.8835792541504
locus 2048,1000,0,0.9,0.02280130293159609,0.0,1002.2823810577393
point 256,1000,1,0.822,0.0024271844660194173,0.0,162.4765396118164
point 1024,1000,1,0.98,0.003051881993896236,0.0,279.6754837036133
locus 1024,1000,1,0.863,0.025959367945823927,0.0,615.7889366149902
locus 2048,1000,1,0.924,0.013874066168623266,0.0,941.814661026001
point 256,1000,2,0.821,0.006053268765133172,0.0,157.24420547485352
point 1024,1000,2,0.987,0.0010121457489878543,0.0,275.8209705352783
locus 1024,1000,2,0.892,0.01762114537444934,0.0,628.1907558441162
locus 2048,1000,2,0.942,0.014644351464435146,0.0,976.0658740997314
point 256,1000,3,0.795,0.013647642679900745,0.0,162.54878044128418
point 1024,1000,3,0.984,0.002028397565922921,0.0,274.64747428894043
locus 1024,1000,3,0.868,0.024719101123595506,0.0,611.600399017334
locus 2048,1000,3,0.926,0.016985138004246284,0.0,952.3241519927979
point 256,1000,4,0.817,0.006082725060827251,0.0,158.08677673339844
point 1024,1000,4,0.986,0.0010131712259371835,0.0,265.75207710266113
locus 1024,1000,4,0.864,0.0281214848143982,0.0,595.7310199737549
locus 2048,1000,4,0.926,0.011739594450373533,0.0,988.9295101165771
point 256,1000,5,0.71,0.07911802853437094,0.0,165.13609886169434
point 1024,1000,5,0.941,0.013626834381551363,0.0,321.9788074493408
locus 1024,1000,5,0.87,0.01805869074492099,0.0,645.5557346343994
locus 2048,1000,5,0.92,0.016042780748663103,0.0,1002.9702186584473
point 256,1000,6,0.78,0.023779724655819776,0.0,160.6302261352539
point 1024,1000,6,0.976,0.007121057985757884,0.0,282.5927734375
locus 1024,1000,6,0.876,0.024498886414253896,0.0,778.174877166748
locus 2048,1000,6,0.921,0.01812366737739872,0.0,1182.2032928466797
point 256,1000,7,0.826,0.0024154589371980675,0.0,183.82000923156738
point 1024,1000,7,0.995,0.0,0.0,273.09560775756836
locus 1024,1000,7,0.871,0.020247469066366704,0.0,600.8992195129395
locus 2048,1000,7,0.933,0.015822784810126583,0.0,1015.7489776611328
point 256,1000,8,0.779,0.044171779141104296,0.0,171.26893997192383
point 1024,1000,8,0.947,0.007337526205450734,0.0,317.0325756072998
locus 1024,1000,8,0.872,0.026785714285714284,0.0,711.9426727294922
locus 2048,1000,8,0.921,0.021253985122210415,0.0,1010.7173919677734
point 256,1000,9,0.832,0.005973715651135006,0.0,171.0822582244873
point 1024,1000,9,0.989,0.0,0.0,279.6170711517334
locus 1024,1000,9,0.875,0.0223463687150838,0.0,636.5995407104492
locus 2048,1000,9,0.924,0.014925373134328358,0.0,1023.9591598510742
