tag,sigma_res,sigma_scatt,n_trk,rep,n_seg,repro_ok,type,count,act_C,act_Q,act_Q_wp,tau_Q_wp,have_q
eps2_sr0.01_ss0.0003,0.01,0.0003,100,1,40000,True,chain>=3,0,0,0.0,0.0,1.0717878167305541,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,1,40000,True,hub,7,0,0.0,0.0,1.0717878167305541,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,1,40000,True,TRUE,400,400,400.0,400.0,1.0717878167305541,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,2,40000,True,isolated,39548,10,64.0,64.0,1.0523143237795602,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,2,40000,True,pair,50,0,0.0,0.0,1.0523143237795602,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,2,40000,True,chain>=3,0,0,0.0,0.0,1.0523143237795602,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,2,40000,True,hub,2,0,0.0,0.0,1.0523143237795602,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,2,40000,True,TRUE,400,400,400.0,396.0,1.0523143237795602,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,3,40000,True,isolated,39538,27,61.0,61.0,0.9588492609387614,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,3,40000,True,pair,62,0,0.0,0.0,0.9588492609387614,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,3,40000,True,chain>=3,0,0,0.0,0.0,0.9588492609387614,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,3,40000,True,hub,0,0,0.0,0.0,0.9588492609387614,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,3,40000,True,TRUE,400,400,400.0,400.0,0.9588492609387614,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,4,40000,True,isolated,39539,4,40.0,40.0,1.0700647601505169,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,4,40000,True,pair,56,0,0.0,0.0,1.0700647601505169,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,4,40000,True,chain>=3,0,0,0.0,0.0,1.0700647601505169,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,4,40000,True,hub,5,0,0.0,0.0,1.0700647601505169,True
eps2_sr0.01_ss0.0003,0.01,0.0003,100,4,40000,True,TRUE,400,400,400.0,396.0,1.0700647601505169,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,0,160000,True,isolated,158720,29,377.0,377.0,1.3756295152334845,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,0,160000,True,pair,434,0,2.0,2.0,1.3756295152334845,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,0,160000,True,chain>=3,30,0,0.0,0.0,1.3756295152334845,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,0,160000,True,hub,16,0,0.0,0.0,1.3756295152334845,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,0,160000,True,TRUE,800,800,800.0,793.0,1.3756295152334845,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,1,160000,True,isolated,158784,9,360.0,360.0,1.3956427549307855,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,1,160000,True,pair,392,0,1.0,1.0,1.3956427549307855,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,1,160000,True,chain>=3,9,0,0.0,0.0,1.3956427549307855,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,1,160000,True,hub,15,0,0.0,0.0,1.3956427549307855,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,1,160000,True,TRUE,800,800,800.0,794.0,1.3956427549307855,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,2,160000,True,isolated,158762,39,439.0,438.0,1.2632295040197228,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,2,160000,True,pair,432,0,2.0,2.0,1.2632295040197228,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,2,160000,True,chain>=3,3,0,0.0,0.0,1.2632295040197228,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,2,160000,True,hub,3,0,0.0,0.0,1.2632295040197228,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,2,160000,True,TRUE,800,800,800.0,800.0,1.2632295040197228,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,3,160000,True,isolated,158690,28,435.0,435.0,1.362448607236594,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,3,160000,True,pair,494,0,5.0,5.0,1.362448607236594,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,3,160000,True,chain>=3,12,0,0.0,0.0,1.362448607236594,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,3,160000,True,hub,4,0,0.0,0.0,1.362448607236594,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,3,160000,True,TRUE,800,800,800.0,795.0,1.362448607236594,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,4,160000,True,isolated,158828,21,462.0,461.0,1.3555190138360251,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,4,160000,True,pair,334,0,2.0,2.0,1.3555190138360251,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,4,160000,True,chain>=3,24,0,1.0,1.0,1.3555190138360251,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,4,160000,True,hub,14,0,0.0,0.0,1.3555190138360251,True
eps2_sr0.01_ss0.0003,0.01,0.0003,200,4,160000,True,TRUE,800,800,800.0,798.0,1.3555190138360251,True
eps2_sr0.01_ss0.0003,0.01,0.0003,400,0,640000,True,isolated,634788,218,3271.0,3270.0,1.4050164409604808,True
eps2_sr0.01_ss0.0003,0.01,0.0003,400,0,640000,True,pair,3318,2,25.0,25.0,1.4050164409604808,True
eps2_sr0.01_ss0.0003,0.01,0.0003,400,0,640000,True,chain>=3,229,0,2.0,2.0,1.4050164409604808,True
eps2_sr0.01_ss0.0003,0.01,0.0003,400,0,640000,True,hub,65,0,0.0,0.0,1.4050164409604808,True
