regime,phi_max,n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,seg_efficiency,seg_false_rate
dense,0.02,80,0,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,1,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,2,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,3,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,4,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,5,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,6,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,7,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,8,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,9,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,10,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,11,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,12,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,13,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,14,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,15,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,16,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,17,2.121324586196087e-05,240,1535760,240,1,1.0,0.004149377593360996
dense,0.02,80,18,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,80,19,2.121324586196087e-05,240,1535760,240,0,1.0,0.0
dense,0.02,85,0,2.121324586196087e-05,255,1842120,255,1,1.0,0.00390625
dense,0.02,85,1,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,2,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,3,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,4,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,5,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,6,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,7,2.121324586196087e-05,255,1842120,255,1,1.0,0.00390625
dense,0.02,85,8,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,9,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,10,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,11,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,12,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,13,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,14,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,15,2.121324586196087e-05,255,1842120,255,4,1.0,0.015444015444015444
dense,0.02,85,16,2.121324586196087e-05,255,1842120,255,1,1.0,0.00390625
dense,0.02,85,17,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,18,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,85,19,2.121324586196087e-05,255,1842120,255,0,1.0,0.0
dense,0.02,90,0,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
dense,0.02,90,1,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
dense,0.02,90,2,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
dense,0.02,90,3,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
dense,0.02,90,4,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
dense,0.02,90,5,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
dense,0.02,90,6,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
dense,0.02,90,7,2.121324586196087e-05,270,2186730,270,0,1.0,0.0
