event,n_tracks,angle,sigma_scatt,sigma_res,gamma,delta,epsilon,threshold,n_segments,n_reco,n_truth,n_hits,x_min,x_max,x_median,wall_time_s,t_generate_s,t_build_s,t_solve_s,t_reco_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency
2,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
3,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25,0.45454545454545453,0.25,0.11,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
4,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9900,50,50,248,0.25,0.45454545454545464,0.25,0.06,0.0,0.05,0.0,0.0,0.96,0.0,0.0,1.0,0.6
5,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9600,50,50,242,0.25,0.4545454545454546,0.25,0.06,0.0,0.05,0.0,0.0,0.84,0.0,0.0,1.0,0.6000000000000001
6,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8612,43,50,227,0.25,0.45454545454545453,0.25,0.05,0.0,0.05,0.0,0.0,0.68,0.0,0.0,1.0,0.6000000000000001
7,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.11,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
8,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9400,50,50,238,0.25,0.45454545454545453,0.25,0.06,0.0,0.05,0.0,0.0,0.76,0.0,0.0,1.0,0.6000000000000002
9,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
10,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
11,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.1,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
12,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.01,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
13,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8872,44,50,232,0.25,0.45454545454545464,0.25,0.05,0.0,0.05,0.0,0.0,0.76,0.0,0.0,1.0,0.6000000000000002
14,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9550,50,50,241,0.24999999999999997,0.45454545454545453,0.24999999999999997,0.11,0.0,0.1,0.0,0.0,0.82,0.0,0.0,1.0,0.6000000000000001
15,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25000000000000006,0.4545454545454544,0.25000000000000006,0.06,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
16,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8569,43,50,226,0.25,0.4545454545454545,0.25,0.05,0.0,0.05,0.0,0.0,0.66,0.0,0.0,1.0,0.6
17,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
18,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9800,50,50,246,0.25000000000000006,0.4545454545454545,0.25000000000000006,0.11,0.0,0.1,0.0,0.0,0.92,0.0,0.0,1.0,0.6000000000000002
19,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9700,50,50,244,0.25000000000000006,0.45454545454545453,0.25000000000000006,0.06,0.01,0.05,0.0,0.0,0.88,0.0,0.0,1.0,0.6000000000000001
20,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.01,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
21,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9136,47,50,235,0.25000000000000006,0.45454545454545453,0.25000000000000006,0.06,0.0,0.05,0.0,0.0,0.76,0.0,0.0,1.0,0.6000000000000002
22,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8995,47,50,232,0.24999999999999997,0.4545454545454546,0.24999999999999997,0.1,0.0,0.1,0.0,0.0,0.7,0.0,0.0,1.0,0.6000000000000001
23,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8608,44,50,226,0.24999999999999997,0.45454545454545453,0.24999999999999997,0.05,0.0,0.05,0.0,0.0,0.64,0.0,0.0,1.0,0.6
24,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25000000000000006,0.4545454545454544,0.25000000000000006,0.07,0.01,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
25,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9600,50,50,242,0.25,0.45454545454545453,0.25,0.06,0.0,0.05,0.0,0.0,0.84,0.0,0.0,1.0,0.6000000000000001
26,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9500,50,50,240,0.25,0.4545454545454546,0.25,0.12,0.0,0.11,0.0,0.0,0.8,0.0,0.0,1.0,0.6
27,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
28,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9800,50,50,246,0.25000000000000006,0.4545454545454544,0.25000000000000006,0.06,0.01,0.05,0.0,0.0,0.92,0.0,0.0,1.0,0.6000000000000002
29,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.11,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
30,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25,0.45454545454545475,0.25,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
31,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
32,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8480,40,50,227,0.25,0.45454545454545464,0.25,0.06,0.01,0.05,0.0,0.0,0.74,0.0,0.0,1.0,0.6000000000000002
33,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8315,39,50,224,0.25000000000000006,0.4545454545454546,0.25000000000000006,0.1,0.0,0.09,0.0,0.0,0.7,0.0,0.0,1.0,0.6000000000000001
34,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9850,50,50,247,0.25,0.45454545454545453,0.25,0.06,0.01,0.05,0.0,0.0,0.94,0.0,0.0,1.0,0.6000000000000002
35,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25,0.45454545454545475,0.25,0.06,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
36,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
37,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.11,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
38,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
39,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
40,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25,0.4545454545454546,0.25,0.11,0.0,0.1,0.0,0.0,0.98,0.0,0.0,1.0,0.6000000000000001
41,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,8402,42,50,223,0.25,0.4545454545454546,0.25,0.05,0.0,0.05,0.0,0.0,0.62,0.0,0.0,1.0,0.6000000000000002
42,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9900,50,50,248,0.25000000000000006,0.45454545454545464,0.25000000000000006,0.06,0.0,0.05,0.0,0.0,0.94,0.0,0.0,1.0,0.6000000000000002
43,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
44,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25000000000000006,0.4545454545454544,0.25000000000000006,0.11,0.01,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
45,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.25000000000000006,0.4545454545454544,0.25000000000000006,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
46,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
47,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,9700,50,50,244,0.25000000000000006,0.45454545454545453,0.25000000000000006,0.06,0.0,0.05,0.0,0.0,0.88,0.0,0.0,1.0,0.6000000000000001
48,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.11,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
49,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,10000,50,50,250,0.24999999999999997,0.45454545454545536,0.24999999999999997,0.06,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.6000000000000001
0,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,38100,100,100,481,0.25,0.45454545454545453,0.25,0.79,0.01,0.78,0.0,0.001,0.81,0.0,0.0,1.0,0.6
1,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.24999999999999997,0.45454545454545453,0.24999999999999997,0.28,0.01,0.27,0.0,0.001,1.0,0.0,0.0,1.0,0.6
2,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.24999999999999997,0.45454545454545464,0.24999999999999997,0.28,0.01,0.27,0.0,0.001,1.0,0.0,0.0,1.0,0.6
3,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.25,0.4545454545454546,0.25,0.29,0.01,0.28,0.0,0.001,1.0,0.0,0.0,1.0,0.6
4,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,38600,100,100,486,0.25,0.4545454545454545,0.25,0.28,0.01,0.27,0.0,0.001,0.86,0.0,0.0,1.0,0.6
5,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.2500000008573858,0.566974668344756,0.2500000008573858,0.29,0.01,0.27,0.0,0.001,1.0,0.0,0.0,0.998,0.6019999999999999
6,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.25,0.4545454545454545,0.25,0.33,0.01,0.31,0.0,0.001,1.0,0.0,0.0,1.0,0.6
7,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,99,100,500,0.2500000016566327,0.5669757960568392,0.2500000016566327,0.3,0.01,0.29,0.0,0.001,0.98,0.010101010101010102,0.0,1.0,0.5999999999999999
8,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.24999999999999997,0.4545454545454547,0.24999999999999997,0.3,0.01,0.28,0.0,0.001,1.0,0.0,0.0,1.0,0.6
9,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.24999999999999997,0.45454545454545464,0.24999999999999997,0.3,0.02,0.28,0.0,0.001,1.0,0.0,0.0,1.0,0.6
10,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.24999999999999997,0.45454545454545464,0.24999999999999997,0.3,0.01,0.28,0.0,0.001,1.0,0.0,0.0,1.0,0.6
11,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,40000,100,100,500,0.25,0.45454545454545453,0.25,0.29,0.01,0.28,0.0,0.001,1.0,0.0,0.0,1.0,0.6
12,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,39700,100,100,497,0.25000000653632326,0.4545444915312399,0.25000000653632326,0.3,0.01,0.29,0.0,0.001,0.97,0.0,0.0,1.0,0.5999999999999999
13,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,36284,92,100,469,0.25,0.45454545454545453,0.25,0.28,0.01,0.27,0.0,0.001,0.77,0.0,0.0,1.0,0.6000000000000001
