status,n_trk,rep,seed,tag,sigma_res,sigma_scatt,phi_max,hit_ineff,convolution,erf_sigma,epsilon,gamma,delta,tau_default,n_seg,n_pad,A_nnz,n_qubits,quantum_metrics_default,cos_QC,P_anc,t_gen,t_angles,t_classical,t_q,t_total,sol_Q,angle_n_true,angle_n_false,angle_true_accepted,angle_false_accepted,angle_segment_efficiency,angle_segment_false_rate,cls_default_n_true_all,cls_default_n_false_all,cls_default_n_true_active,cls_default_n_false_active,cls_default_n_active,cls_default_segment_efficiency,cls_default_segment_purity,cls_default_segment_false_rate,file,q_default_n_true_all,q_default_n_false_all,q_default_n_true_active,q_default_n_false_active,q_default_n_active,q_default_segment_efficiency,q_default_segment_purity,q_default_segment_false_rate
ok,4.0,0.0,200400.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,56.0,64.0,74.0,,,,,0.0006122589111328125,0.23678326606750488,0.0024368762969970703,0.0,0.2400977611541748,,9.0,135.0,9.0,0.0,1.0,0.0,14.0,42.0,14.0,42.0,56.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r000.pkl,,,,,,,,
ok,4.0,1.0,200401.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,64.0,64.0,88.0,,,,,0.0006554126739501953,0.19154644012451172,0.0022644996643066406,0.0,0.19475078582763672,,12.0,180.0,12.0,0.0,1.0,0.0,16.0,48.0,16.0,48.0,64.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r001.pkl,,,,,,,,
ok,4.0,2.0,200402.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,64.0,64.0,88.0,,,,,0.0007765293121337891,0.250654935836792,0.0026535987854003906,0.0,0.2544429302215576,,12.0,180.0,12.0,0.0,1.0,0.0,16.0,48.0,16.0,48.0,64.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r002.pkl,,,,,,,,
ok,4.0,3.0,200403.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,56.0,64.0,76.0,,,,,0.0006315708160400391,0.23563814163208008,0.002368927001953125,0.0,0.23891305923461914,,10.0,150.0,10.0,0.0,1.0,0.0,14.0,42.0,14.0,42.0,56.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r003.pkl,,,,,,,,
ok,4.0,4.0,200404.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,60.0,64.0,82.0,,,,,0.0006699562072753906,0.20215797424316406,0.0026366710662841797,0.0,0.2057788372039795,,11.0,165.0,11.0,0.0,1.0,0.0,15.0,45.0,15.0,45.0,60.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r004.pkl,,,,,,,,
ok,4.0,5.0,200405.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,56.0,64.0,74.0,,,,,0.0007154941558837891,0.25034618377685547,0.002931356430053711,0.0,0.2543518543243408,,9.0,135.0,9.0,0.0,1.0,0.0,14.0,42.0,14.0,42.0,56.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r005.pkl,,,,,,,,
ok,4.0,6.0,200406.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,64.0,64.0,88.0,,,,,0.0007190704345703125,0.22237873077392578,0.002501249313354492,0.0,0.22592449188232422,,12.0,180.0,12.0,0.0,1.0,0.0,16.0,48.0,16.0,48.0,64.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r006.pkl,,,,,,,,
ok,4.0,7.0,200407.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,64.0,64.0,88.0,,,,,0.0006239414215087891,0.25055360794067383,0.0022161006927490234,0.0,0.2536733150482178,,12.0,180.0,12.0,0.0,1.0,0.0,16.0,48.0,16.0,48.0,64.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r007.pkl,,,,,,,,
ok,4.0,8.0,200408.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,64.0,64.0,88.0,,,,,0.0006458759307861328,0.19200420379638672,0.002253293991088867,0.0,0.19519734382629395,,12.0,180.0,12.0,0.0,1.0,0.0,16.0,48.0,16.0,48.0,64.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r008.pkl,,,,,,,,
ok,4.0,9.0,200409.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,64.0,64.0,88.0,,,,,0.0006327629089355469,0.23735260963439941,0.002305746078491211,0.0,0.24056434631347656,,12.0,180.0,12.0,0.0,1.0,0.0,16.0,48.0,16.0,48.0,64.0,1.0,0.25,0.75,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0004_r009.pkl,,,,,,,,
