solver,sigma_scatt,hit_ineff,n_trk,n_rep,n_valid,excluded_frac,eff,eff_sem,far,far_sem,pur,pur_sem,eff_wp,eff_wp_sem,far_wp,far_wp_sem,cos_QC
classical,0.0001,0.1,400,20,20,0.0,85.21404495091329,0.34425308668711846,0.0711508642734225,0.034284733347727005,99.92884913572657,0.03428473334772751,100.0,0.0,99.74976473060318,0.00010829084754705333,
classical,0.0001,0.1,700,20,20,0.0,85.19424100014167,0.19105387779306784,0.10156946983690948,0.03207117770866521,99.89843053016308,0.03207117770866556,100.0,0.0,99.85716932894658,7.476389277328797e-05,
classical,0.0001,0.1,1000,20,20,0.0,85.06720455035475,0.15115267119195874,0.23843273341292098,0.044056543419325134,99.7615672665871,0.044056543419325765,100.0,0.0,99.89995879746957,3.654561264742171e-05,
classical,0.0003,0.0,10,20,20,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,
classical,0.0003,0.0,20,20,20,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,
classical,0.0003,0.0,50,20,20,0.0,100.0,0.0,0.17241978807187103,0.10855411134012079,99.82758021192812,0.10855411134012068,100.0,0.0,0.17241978807187103,0.10855411134012079,
classical,0.0003,0.0,100,20,20,0.0,100.0,0.0,0.172658873122074,0.10284473178602553,99.82734112687793,0.10284473178602578,100.0,0.0,0.172658873122074,0.10284473178602553,
classical,0.0003,0.0,200,20,20,0.0,99.99375,0.0062499999999999995,0.25460202408134147,0.0719596988094569,99.74539797591866,0.0719596988094569,99.98125,0.01875,0.24222607364702303,0.06966986746753026,
classical,0.0003,0.0,400,20,20,0.0,99.984375,0.012724141735093052,0.6034562991913345,0.1101928481677477,99.39654370080868,0.11019284816774776,99.978125,0.015225146918312824,0.4743951151129314,0.08886817512014852,
classical,0.0003,0.0,700,20,20,0.0,99.99285714285715,0.004177840370467634,1.9279426725668358,0.10434688644810249,98.07205732743314,0.104346886448102,99.97857142857143,0.012533521111406227,1.1118359834788358,0.07065493696259721,
classical,0.0003,0.0,1000,20,20,0.0,99.99375,0.0035702535661089447,4.669790701863583,0.21942555904009392,95.3302092981364,0.21942555904009486,99.98125,0.010710760698327229,2.388027759217963,0.11527692935354511,
classical,0.0003,0.01,10,20,20,0.0,98.40643274853801,0.5586148775905109,0.0,0.0,100.0,0.0,100.0,0.0,4.5,4.5,
classical,0.0003,0.01,20,20,20,0.0,98.30579567421674,0.48295324455387184,0.0,0.0,100.0,0.0,100.0,0.0,19.125501747465314,8.704575378086371,
classical,0.0003,0.01,50,20,20,0.0,98.17499666783928,0.2149023453359605,0.0,0.0,100.0,0.0,99.97395833333334,0.02604166666666714,44.30090295885195,11.143931144041913,
classical,0.0003,0.01,100,20,20,0.0,98.43120726704532,0.24530239143000585,0.065759302998041,0.042640294996911667,99.93424069700197,0.04264029499691214,99.64347667048145,0.0627034629376794,30.269003860779854,10.324145986021994,
classical,0.0003,0.01,200,20,20,0.0,98.54389608491113,0.13447839649328325,0.2240972084226575,0.08205854823765882,99.77590279157735,0.08205854823765947,99.60485132162214,0.062090280886265496,20.155713144232283,7.673523159466052,
classical,0.0003,0.01,400,20,20,0.0,98.48780578822225,0.08456231573704104,0.5780065579883694,0.09866285732120511,99.42199344201164,0.09866285732120614,99.39412298705726,0.055220908624355025,21.187086285136424,1.6285182902238342,
classical,0.0003,0.01,700,20,20,0.0,98.45677695364955,0.07566809594229351,2.0175641498742674,0.13023919931642933,97.98243585012574,0.13023919931642974,99.45992310691626,0.05004560130886504,48.57445656532826,0.20606655037860586,
classical,0.0003,0.01,1000,20,20,0.0,98.59861544881012,0.06016488034701935,4.924242423935045,0.2324077654389651,95.07575757606494,0.23240776543896408,99.46831499474797,0.045221138698629613,62.93241033429124,3.0571573904749503,
classical,0.0003,0.02,10,20,20,0.0,97.6502683576987,0.796536953914975,0.0,0.0,100.0,0.0,100.0,0.0,8.987951807228916,6.185938854799803,
classical,0.0003,0.02,20,20,20,0.0,97.28008906693118,0.5587105715771332,0.0,0.0,100.0,0.0,100.0,0.0,23.747925154763273,9.436469020719642,
classical,0.0003,0.02,50,20,20,0.0,97.36624838146007,0.4892051918891547,0.025252525252525,0.025252525252525002,99.97474747474747,0.02525252525252597,100.0,0.0,63.725006880073195,10.715674978322149,
classical,0.0003,0.02,100,20,20,0.0,96.91044984967593,0.18376325000618307,0.08105009799665501,0.055911064403821216,99.91894990200335,0.055911064403820834,99.85703821692286,0.051514610373705756,64.82527281694456,10.684796639608885,
classical,0.0003,0.02,200,20,20,0.0,97.05178481558187,0.20812844987672374,0.390864510961363,0.10489514520163598,99.60913548903864,0.10489514520163633,99.81244380737232,0.07127411557533261,67.24485020627542,10.086549045044237,
classical,0.0003,0.02,400,20,20,0.0,97.17890560609976,0.09430551211568754,0.6637500890828246,0.1136279887762216,99.33624991091718,0.1136279887762216,99.61673869316255,0.08576901480185162,57.943758724003295,8.677282379873246,
classical,0.0003,0.02,700,20,20,0.0,97.14528329837042,0.09988120058388772,2.071462535961133,0.1705440633940053,97.92853746403885,0.1705440633940047,99.41030414337999,0.0818471186009686,61.894986397550085,5.030245032843406,
