event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible,sigma_scatt_mrad
14,100,0.0002,0.0,0.02,0.0008487932610477,67.75,1.0,0.0,0.0,1.0,1.0,100,100,0.2
15,100,0.0002,0.0,0.02,0.0008487932610477,75.86,0.49,0.0925925925925925,0.0,1.0,1.0,54,100,0.2
16,100,0.0002,0.0,0.02,0.0008487932610477,72.9,0.86,0.0444444444444444,0.0,1.0,1.0,90,100,0.2
17,100,0.0002,0.0,0.02,0.0008487932610477,68.23,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.2
18,100,0.0002,0.0,0.02,0.0008487932610477,69.34,1.0,0.0,0.0,1.0,1.0,100,100,0.2
19,100,0.0002,0.0,0.02,0.0008487932610477,66.63,0.96,0.0103092783505154,0.0,1.0,1.0,97,100,0.2
0,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
1,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
2,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
3,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
4,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
5,10,0.0004,0.0,0.02,0.0016971888521905,0.04,0.7,0.125,0.0,1.0,1.0,8,10,0.4
6,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
7,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
8,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
9,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
10,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
11,10,0.0004,0.0,0.02,0.0016971888521905,0.04,0.8,0.0,0.0,1.0,1.0,8,10,0.4
12,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
13,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
14,10,0.0004,0.0,0.02,0.0016971888521905,0.04,0.9,0.0,0.0,1.0,1.0,9,10,0.4
15,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,0.98,10,10,0.4
16,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
17,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
18,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
19,10,0.0004,0.0,0.02,0.0016971888521905,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.4
0,20,0.0004,0.0,0.02,0.0016971888521905,0.32,1.0,0.0,0.0,1.0,1.0,20,20,0.4
1,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
2,20,0.0004,0.0,0.02,0.0016971888521905,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.4
3,20,0.0004,0.0,0.02,0.0016971888521905,0.29,1.0,0.0,0.0,1.0,1.0,20,20,0.4
4,20,0.0004,0.0,0.02,0.0016971888521905,0.31,0.4,0.2727272727272727,0.0,1.0,1.0,11,20,0.4
5,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
6,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
7,20,0.0004,0.0,0.02,0.0016971888521905,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.4
8,20,0.0004,0.0,0.02,0.0016971888521905,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.4
9,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
10,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
11,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
12,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
13,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
14,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
15,20,0.0004,0.0,0.02,0.0016971888521905,0.32,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.4
16,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
17,20,0.0004,0.0,0.02,0.0016971888521905,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.4
18,20,0.0004,0.0,0.02,0.0016971888521905,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.4
19,20,0.0004,0.0,0.02,0.0016971888521905,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.4
0,50,0.0004,0.0,0.02,0.0016971888521905,5.89,0.92,0.0212765957446808,0.0,1.0,1.0,47,50,0.4
1,50,0.0004,0.0,0.02,0.0016971888521905,5.15,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.4
2,50,0.0004,0.0,0.02,0.0016971888521905,4.44,0.0,1.0,0.0,0.0,0.0,1,50,0.4
3,50,0.0004,0.0,0.02,0.0016971888521905,4.37,0.88,0.0434782608695652,0.0,1.0,1.0,46,50,0.4
4,50,0.0004,0.0,0.02,0.0016971888521905,4.31,0.76,0.0952380952380952,0.0,1.0,1.0,42,50,0.4
5,50,0.0004,0.0,0.02,0.0016971888521905,4.55,0.96,0.0,0.0,1.0,1.0,48,50,0.4
6,50,0.0004,0.0,0.02,0.0016971888521905,5.07,1.0,0.0,0.0,1.0,1.0,50,50,0.4
7,50,0.0004,0.0,0.02,0.0016971888521905,5.45,0.64,0.1351351351351351,0.0,1.0,1.0,37,50,0.4
8,50,0.0004,0.0,0.02,0.0016971888521905,4.32,1.0,0.0,0.0,1.0,1.0,50,50,0.4
9,50,0.0004,0.0,0.02,0.0016971888521905,4.81,0.92,0.0212765957446808,0.0,1.0,1.0,47,50,0.4
10,50,0.0004,0.0,0.02,0.0016971888521905,5.44,0.92,0.0212765957446808,0.0,1.0,1.0,47,50,0.4
11,50,0.0004,0.0,0.02,0.0016971888521905,4.48,0.82,0.0681818181818181,0.0,1.0,1.0,44,50,0.4
12,50,0.0004,0.0,0.02,0.0016971888521905,4.44,0.88,0.0638297872340425,0.0,1.0,1.0,47,50,0.4
13,50,0.0004,0.0,0.02,0.0016971888521905,6.38,0.7,0.0789473684210526,0.0,1.0,1.0,38,50,0.4
14,50,0.0004,0.0,0.02,0.0016971888521905,6.65,0.88,0.0434782608695652,0.0,1.0,1.0,46,50,0.4
15,50,0.0004,0.0,0.02,0.0016971888521905,6.46,1.0,0.0,0.0,1.0,1.0,50,50,0.4
16,50,0.0004,0.0,0.02,0.0016971888521905,6.53,0.68,0.081081081081081,0.0,1.0,1.0,37,50,0.4
17,50,0.0004,0.0,0.02,0.0016971888521905,6.38,0.92,0.0212765957446808,0.0,1.0,1.0,47,50,0.4
18,50,0.0004,0.0,0.02,0.0016971888521905,4.68,0.88,0.0638297872340425,0.0,1.0,1.0,47,50,0.4
19,50,0.0004,0.0,0.02,0.0016971888521905,5.8,0.88,0.0434782608695652,0.0,1.0,1.0,46,50,0.4
0,100,0.0004,0.0,0.02,0.0016971888521905,63.65,1.0,0.0,0.0,1.0,1.0,100,100,0.4
1,100,0.0004,0.0,0.02,0.0016971888521905,63.79,0.89,0.043010752688172,0.0,1.0,1.0,93,100,0.4
2,100,0.0004,0.0,0.02,0.0016971888521905,64.19,0.03,0.25,0.0,1.0,1.0,4,100,0.4
3,100,0.0004,0.0,0.02,0.0016971888521905,63.88,1.0,0.0,0.0,1.0,1.0,100,100,0.4
4,100,0.0004,0.0,0.02,0.0016971888521905,63.9,0.92,0.0212765957446808,0.0,1.0,1.0,94,100,0.4
5,100,0.0004,0.0,0.02,0.0016971888521905,63.87,0.89,0.0219780219780219,0.0,1.0,1.0,91,100,0.4
6,100,0.0004,0.0,0.02,0.0016971888521905,63.93,0.37,0.0975609756097561,0.0,1.0,1.0,41,100,0.4
7,100,0.0004,0.0,0.02,0.0016971888521905,63.93,0.66,0.0571428571428571,0.0,1.0,1.0,70,100,0.4
8,100,0.0004,0.0,0.02,0.0016971888521905,63.97,0.8,0.0588235294117647,0.0,1.0,1.0,85,100,0.4
9,100,0.0004,0.0,0.02,0.0016971888521905,63.61,0.72,0.0649350649350649,0.0,1.0,1.0,77,100,0.4
10,100,0.0004,0.0,0.02,0.0016971888521905,63.66,0.5,0.0909090909090909,0.0,1.0,1.0,55,100,0.4
11,100,0.0004,0.0,0.02,0.0016971888521905,63.99,0.78,0.048780487804878,0.0,1.0,1.0,82,100,0.4
12,100,0.0004,0.0,0.02,0.0016971888521905,64.1,0.08,0.2,0.0,1.0,1.0,10,100,0.4
13,100,0.0004,0.0,0.02,0.0016971888521905,63.56,0.71,0.0897435897435897,0.0,1.0,1.0,78,100,0.4
14,100,0.0004,0.0,0.02,0.0016971888521905,63.6,1.0,0.0,0.0,1.0,1.0,100,100,0.4
15,100,0.0004,0.0,0.02,0.0016971888521905,63.72,0.87,0.0333333333333333,0.0,1.0,1.0,90,100,0.4
16,100,0.0004,0.0,0.02,0.0016971888521905,63.65,0.75,0.0625,0.0,1.0,1.0,80,100,0.4
17,100,0.0004,0.0,0.02,0.0016971888521905,63.91,1.0,0.0,0.0,1.0,1.0,100,100,0.4
18,100,0.0004,0.0,0.02,0.0016971888521905,63.65,1.0,0.0,0.0,1.0,1.0,100,100,0.4
19,100,0.0004,0.0,0.02,0.0016971888521905,63.57,0.77,0.0609756097560975,0.0,1.0,1.0,82,100,0.4
0,10,0.0006,0.0,0.02,0.0025456727990847,0.05,1.0,0.0,0.0,1.0,1.0,10,10,0.6
1,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
2,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
3,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
4,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
5,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
6,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
7,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
8,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
9,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
10,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
11,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
12,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
13,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
14,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
15,10,0.0006,0.0,0.02,0.0025456727990847,0.04,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,0.6
16,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
17,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
18,10,0.0006,0.0,0.02,0.0025456727990847,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.6
19,10,0.0006,0.0,0.02,0.0025456727990847,0.04,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,0.6
0,20,0.0006,0.0,0.02,0.0025456727990847,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.6
1,20,0.0006,0.0,0.02,0.0025456727990847,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.6
2,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
3,20,0.0006,0.0,0.02,0.0025456727990847,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.6
4,20,0.0006,0.0,0.02,0.0025456727990847,0.31,0.15,0.25,0.0,1.0,1.0,4,20,0.6
5,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
6,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
7,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
8,20,0.0006,0.0,0.02,0.0025456727990847,0.3,0.55,0.2142857142857142,0.0,1.0,1.0,14,20,0.6
9,20,0.0006,0.0,0.02,0.0025456727990847,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.6
10,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,0.99,20,20,0.6
11,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
12,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
13,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
14,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
15,20,0.0006,0.0,0.02,0.0025456727990847,0.32,1.0,0.0,0.0,1.0,1.0,20,20,0.6
16,20,0.0006,0.0,0.02,0.0025456727990847,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.6
17,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
18,20,0.0006,0.0,0.02,0.0025456727990847,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.6
19,20,0.0006,0.0,0.02,0.0025456727990847,0.3,0.6,0.2,0.0,1.0,1.0,15,20,0.6
0,50,0.0006,0.0,0.02,0.0025456727990847,7.05,0.0,1.0,0.0,0.0,0.0,1,50,0.6
1,50,0.0006,0.0,0.02,0.0025456727990847,5.43,0.2,0.1666666666666666,0.0,1.0,1.0,12,50,0.6
2,50,0.0006,0.0,0.02,0.0025456727990847,5.14,0.0,1.0,0.0,0.0,0.0,1,50,0.6
3,50,0.0006,0.0,0.02,0.0025456727990847,5.73,0.84,0.0666666666666666,0.0,1.0,1.0,45,50,0.6
4,50,0.0006,0.0,0.02,0.0025456727990847,5.21,0.06,0.25,0.0,1.0,1.0,4,50,0.6
5,50,0.0006,0.0,0.02,0.0025456727990847,5.12,0.32,0.1111111111111111,0.0,1.0,1.0,18,50,0.6
6,50,0.0006,0.0,0.02,0.0025456727990847,5.59,0.74,0.0975609756097561,0.0,1.0,1.0,41,50,0.6
7,50,0.0006,0.0,0.02,0.0025456727990847,4.71,0.8,0.0476190476190476,0.0,1.0,1.0,42,50,0.6
8,50,0.0006,0.0,0.02,0.0025456727990847,5.13,0.34,0.15,0.0,1.0,1.0,20,50,0.6
9,50,0.0006,0.0,0.02,0.0025456727990847,5.57,0.88,0.0638297872340425,0.0,1.0,1.0,47,50,0.6
10,50,0.0006,0.0,0.02,0.0025456727990847,4.84,0.84,0.0454545454545454,0.0,1.0,1.0,44,50,0.6
11,50,0.0006,0.0,0.02,0.0025456727990847,4.6,0.76,0.073170731707317,0.0,1.0,1.0,41,50,0.6
12,50,0.0006,0.0,0.02,0.0025456727990847,4.88,0.2,0.1666666666666666,0.0,1.0,1.0,12,50,0.6
13,50,0.0006,0.0,0.02,0.0025456727990847,5.76,0.64,0.0588235294117647,0.0,1.0,1.0,34,50,0.6
14,50,0.0006,0.0,0.02,0.0025456727990847,5.9,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.6
15,50,0.0006,0.0,0.02,0.0025456727990847,6.66,0.9,0.0217391304347826,0.0,1.0,1.0,46,50,0.6
16,50,0.0006,0.0,0.02,0.0025456727990847,6.43,0.88,0.0638297872340425,0.0,1.0,1.0,47,50,0.6
17,50,0.0006,0.0,0.02,0.0025456727990847,6.61,0.0,1.0,0.0,0.0,0.0,1,50,0.6
18,50,0.0006,0.0,0.02,0.0025456727990847,6.7,0.0,1.0,0.0,0.0,0.0,1,50,0.6
19,50,0.0006,0.0,0.02,0.0025456727990847,6.6,0.12,0.25,0.0,1.0,1.0,8,50,0.6
0,100,0.0006,0.0,0.02,0.0025456727990847,64.36,0.16,0.0588235294117647,0.0,1.0,1.0,17,100,0.6
1,100,0.0006,0.0,0.02,0.0025456727990847,64.78,0.7,0.0410958904109589,0.0,1.0,1.0,73,100,0.6
2,100,0.0006,0.0,0.02,0.0025456727990847,64.42,0.6,0.1044776119402985,0.0,1.0,1.0,67,100,0.6
3,100,0.0006,0.0,0.02,0.0025456727990847,64.57,0.15,0.0625,0.0,1.0,1.0,16,100,0.6
4,100,0.0006,0.0,0.02,0.0025456727990847,64.68,0.12,0.0769230769230769,0.0,1.0,1.0,13,100,0.6
5,100,0.0006,0.0,0.02,0.0025456727990847,64.56,0.02,0.3333333333333333,0.0,1.0,1.0,3,100,0.6
6,100,0.0006,0.0,0.02,0.0025456727990847,64.38,0.88,0.0222222222222222,0.0,1.0,1.0,90,100,0.6
7,100,0.0006,0.0,0.02,0.0025456727990847,65.01,0.17,0.0555555555555555,0.0,1.0,1.0,18,100,0.6
8,100,0.0006,0.0,0.02,0.0025456727990847,70.84,0.0,1.0,0.0,0.0,0.0,1,100,0.6
9,100,0.0006,0.0,0.02,0.0025456727990847,64.82,0.15,0.0625,0.0,1.0,1.0,16,100,0.6
10,100,0.0006,0.0,0.02,0.0025456727990847,64.89,0.75,0.0384615384615384,0.0,1.0,1.0,78,100,0.6
11,100,0.0006,0.0,0.02,0.0025456727990847,65.19,0.73,0.0135135135135135,0.0,1.0,1.0,74,100,0.6
12,100,0.0006,0.0,0.02,0.0025456727990847,64.86,0.53,0.1016949152542373,0.0,1.0,1.0,59,100,0.6
13,100,0.0006,0.0,0.02,0.0025456727990847,64.85,0.0,1.0,0.0,0.0,0.0,1,100,0.6
14,100,0.0006,0.0,0.02,0.0025456727990847,64.33,0.37,0.0263157894736842,0.0,1.0,1.0,38,100,0.6
15,100,0.0006,0.0,0.02,0.0025456727990847,64.06,0.33,0.0294117647058823,0.0,1.0,1.0,34,100,0.6
16,100,0.0006,0.0,0.02,0.0025456727990847,64.28,0.77,0.0493827160493827,0.0,1.0,1.0,81,100,0.6
17,100,0.0006,0.0,0.02,0.0025456727990847,64.34,0.28,0.0666666666666666,0.0,1.0,1.0,30,100,0.6
18,100,0.0006,0.0,0.02,0.0025456727990847,64.85,0.15,0.0625,0.0,1.0,1.0,16,100,0.6
19,100,0.0006,0.0,0.02,0.0025456727990847,64.51,0.46,0.0416666666666666,0.0,1.0,1.0,48,100,0.6
0,10,0.0008,0.0,0.02,0.0033941788403088,0.05,1.0,0.0,0.0,1.0,1.0,10,10,0.8
1,10,0.0008,0.0,0.02,0.0033941788403088,0.04,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,0.8
2,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
3,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
4,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
5,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
6,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
7,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
8,10,0.0008,0.0,0.02,0.0033941788403088,0.04,0.6,0.1428571428571428,0.0,1.0,1.0,7,10,0.8
9,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
10,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
11,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
12,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
13,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
14,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
15,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
16,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
17,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
18,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
19,10,0.0008,0.0,0.02,0.0033941788403088,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.8
0,20,0.0008,0.0,0.02,0.0033941788403088,0.31,0.8,0.1111111111111111,0.0,1.0,1.0,18,20,0.8
1,20,0.0008,0.0,0.02,0.0033941788403088,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.8
2,20,0.0008,0.0,0.02,0.0033941788403088,0.3,0.8,0.0588235294117647,0.0,1.0,1.0,17,20,0.8
3,20,0.0008,0.0,0.02,0.0033941788403088,0.3,0.8,0.1111111111111111,0.0,1.0,1.0,18,20,0.8
4,20,0.0008,0.0,0.02,0.0033941788403088,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.8
5,20,0.0008,0.0,0.02,0.0033941788403088,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.8
6,20,0.0008,0.0,0.02,0.0033941788403088,0.31,0.0,1.0,0.0,0.0,0.0,2,20,0.8
7,20,0.0008,0.0,0.02,0.0033941788403088,0.3,0.8,0.0588235294117647,0.0,1.0,1.0,17,20,0.8
8,20,0.0008,0.0,0.02,0.0033941788403088,0.31,1.0,0.0,0.0,1.0,1.0,20,20,0.8
9,20,0.0008,0.0,0.02,0.0033941788403088,0.31,0.8,0.0588235294117647,0.0,1.0,1.0,17,20,0.8
10,20,0.0008,0.0,0.02,0.0033941788403088,0.3,0.0,1.0,0.0,0.0,0.0,3,20,0.8
11,20,0.0008,0.0,0.02,0.0033941788403088,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.8
12,20,0.0008,0.0,0.02,0.0033941788403088,0.31,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.8
13,20,0.0008,0.0,0.02,0.0033941788403088,0.31,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.8
14,20,0.0008,0.0,0.02,0.0033941788403088,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.8
15,20,0.0008,0.0,0.02,0.0033941788403088,0.34,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.8
16,20,0.0008,0.0,0.02,0.0033941788403088,0.31,0.4,0.2,0.0,1.0,1.0,10,20,0.8
17,20,0.0008,0.0,0.02,0.0033941788403088,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.8
18,20,0.0008,0.0,0.02,0.0033941788403088,0.3,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.8
19,20,0.0008,0.0,0.02,0.0033941788403088,0.31,0.9,0.0526315789473684,0.0,1.0,1.0,19,20,0.8
0,50,0.0008,0.0,0.02,0.0033941788403088,6.52,0.02,0.5,0.0,1.0,1.0,2,50,0.8
1,50,0.0008,0.0,0.02,0.0033941788403088,6.32,0.16,0.2,0.0,1.0,1.0,10,50,0.8
2,50,0.0008,0.0,0.02,0.0033941788403088,4.96,0.88,0.0638297872340425,0.0,1.0,1.0,47,50,0.8
3,50,0.0008,0.0,0.02,0.0033941788403088,5.74,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.8
4,50,0.0008,0.0,0.02,0.0033941788403088,5.28,0.18,0.1,0.0,1.0,1.0,10,50,0.8
5,50,0.0008,0.0,0.02,0.0033941788403088,4.87,0.46,0.08,0.0,1.0,1.0,25,50,0.8
6,50,0.0008,0.0,0.02,0.0033941788403088,5.8,0.78,0.048780487804878,0.0,1.0,1.0,41,50,0.8
7,50,0.0008,0.0,0.02,0.0033941788403088,5.27,0.08,0.2,0.0,1.0,1.0,5,50,0.8
8,50,0.0008,0.0,0.02,0.0033941788403088,5.3,1.0,0.0,0.0,1.0,1.0,50,50,0.8
9,50,0.0008,0.0,0.02,0.0033941788403088,5.82,0.84,0.0666666666666666,0.0,1.0,1.0,45,50,0.8
10,50,0.0008,0.0,0.02,0.0033941788403088,5.5,0.3,0.1666666666666666,0.0,1.0,1.0,18,50,0.8
11,50,0.0008,0.0,0.02,0.0033941788403088,5.12,0.84,0.0454545454545454,0.0,1.0,1.0,44,50,0.8
12,50,0.0008,0.0,0.02,0.0033941788403088,5.38,0.08,0.2,0.0,1.0,1.0,5,50,0.8
13,50,0.0008,0.0,0.02,0.0033941788403088,6.68,0.64,0.0588235294117647,0.0,1.0,1.0,34,50,0.8
14,50,0.0008,0.0,0.02,0.0033941788403088,5.0,0.8,0.0697674418604651,0.0,1.0,1.0,43,50,0.8
15,50,0.0008,0.0,0.02,0.0033941788403088,6.7,0.78,0.0714285714285714,0.0,1.0,1.0,42,50,0.8
16,50,0.0008,0.0,0.02,0.0033941788403088,6.59,1.0,0.0,0.0,1.0,1.0,50,50,0.8
17,50,0.0008,0.0,0.02,0.0033941788403088,6.65,0.28,0.125,0.0,1.0,1.0,16,50,0.8
18,50,0.0008,0.0,0.02,0.0033941788403088,6.58,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.8
19,50,0.0008,0.0,0.02,0.0033941788403088,6.67,0.1,0.1666666666666666,0.0,1.0,1.0,6,50,0.8
0,100,0.0008,0.0,0.02,0.0033941788403088,64.97,0.0,1.0,0.0,0.0,0.0,1,100,0.8
1,100,0.0008,0.0,0.02,0.0033941788403088,64.78,0.27,0.0357142857142857,0.0,1.0,1.0,28,100,0.8
2,100,0.0008,0.0,0.02,0.0033941788403088,64.69,0.7,0.0277777777777777,0.0,1.0,1.0,72,100,0.8
3,100,0.0008,0.0,0.02,0.0033941788403088,65.12,0.0,1.0,0.0,0.0,0.0,1,100,0.8
4,100,0.0008,0.0,0.02,0.0033941788403088,64.64,0.3,0.0625,0.0,1.0,1.0,32,100,0.8
