event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible,sigma_res_um
7,50,0.0001,0.01,0.02,0.0031777035588293,5.86,0.0,1.0,0.0,0.0,0.0,1,50,10.0
8,50,0.0001,0.01,0.02,0.0031777035588293,5.83,0.66,0.1081081081081081,0.0,1.0,1.0,37,50,10.0
9,50,0.0001,0.01,0.02,0.0031777035588293,5.82,0.66,0.0833333333333333,0.0,1.0,1.0,36,50,10.0
10,50,0.0001,0.01,0.02,0.0031777035588293,5.82,0.76,0.0952380952380952,0.0,1.0,1.0,42,50,10.0
11,50,0.0001,0.01,0.02,0.0031777035588293,5.84,0.64,0.1351351351351351,0.0,1.0,1.0,37,50,10.0
12,50,0.0001,0.01,0.02,0.0031777035588293,5.84,0.76,0.073170731707317,0.0,1.0,1.0,41,50,10.0
13,50,0.0001,0.01,0.02,0.0031777035588293,5.82,0.78,0.0930232558139534,0.0,1.0,1.0,43,50,10.0
14,50,0.0001,0.01,0.02,0.0031777035588293,5.78,0.48,0.1428571428571428,0.0,1.0,1.0,28,50,10.0
15,50,0.0001,0.01,0.02,0.0031777035588293,5.83,0.0,1.0,0.0,0.0,0.0,1,50,10.0
16,50,0.0001,0.01,0.02,0.0031777035588293,5.84,0.04,0.3333333333333333,0.0,1.0,1.0,3,50,10.0
17,50,0.0001,0.01,0.02,0.0031777035588293,5.81,0.78,0.0714285714285714,0.0,1.0,1.0,42,50,10.0
18,50,0.0001,0.01,0.02,0.0031777035588293,5.89,0.78,0.048780487804878,0.0,1.0,1.0,41,50,10.0
19,50,0.0001,0.01,0.02,0.0031777035588293,5.96,0.18,0.1,0.0,1.0,1.0,10,50,10.0
0,100,0.0001,0.01,0.02,0.0031777035588293,65.21,0.13,0.0714285714285714,0.0,1.0,1.0,14,100,10.0
1,100,0.0001,0.01,0.02,0.0031777035588293,65.03,0.76,0.0256410256410256,0.0,1.0,1.0,78,100,10.0
2,100,0.0001,0.01,0.02,0.0031777035588293,64.92,0.19,0.05,0.0,1.0,1.0,20,100,10.0
3,100,0.0001,0.01,0.02,0.0031777035588293,64.65,0.93,0.03125,0.0,1.0,1.0,96,100,10.0
4,100,0.0001,0.01,0.02,0.0031777035588293,65.34,0.59,0.0327868852459016,0.0,1.0,1.0,61,100,10.0
