event,n_hits,n_seg,n_true,n_active,eff,n_iso,fp_iso,far_iso,n_pair,fp_pair,far_pair,n_chain,fp_chain,far_chain,n_hub,fp_hub,far_hub,far,pur
velo_event_136.json,2588,124636,1920,1766,0.8651041666666667,122163,0,0.0,448,0,0.0,57,57,0.03227633069082673,48,48,0.027180067950169876,0.059456398640996604,0.9405436013590034
velo_event_137.json,3187,191273,2399,2310,0.8774489370571071,187660,0,0.0,1009,0,0.0,133,133,0.05757575757575758,72,72,0.03116883116883117,0.08874458874458875,0.9112554112554112
velo_event_138.json,2392,111484,1772,1717,0.8978555304740407,109231,0,0.0,355,0,0.0,47,47,0.027373325567850902,79,79,0.046010483401281305,0.07338380896913221,0.9266161910308678
velo_event_139.json,1653,51189,1167,1044,0.8363324764353042,49862,0,0.0,92,0,0.0,26,26,0.02490421455938697,42,42,0.040229885057471264,0.06513409961685823,0.9348659003831418
velo_event_14.json,3649,256476,2706,2559,0.8787878787878788,252321,0,0.0,1268,0,0.0,120,120,0.04689331770222743,61,61,0.023837436498632278,0.07073075420085971,0.9292692457991403
velo_event_140.json,2083,81104,1455,1381,0.8975945017182131,79309,0,0.0,265,0,0.0,35,35,0.025343953656770456,40,40,0.02896451846488052,0.05430847212165098,0.945691527878349
velo_event_141.json,2560,123357,1799,1682,0.877153974430239,121037,0,0.0,417,0,0.0,54,54,0.03210463733650416,50,50,0.029726516052318668,0.06183115338882283,0.9381688466111772
velo_event_142.json,2412,112617,1729,1499,0.8438403701561596,110572,0,0.0,276,0,0.0,19,19,0.012675116744496331,21,21,0.014009339559706471,0.0266844563042028,0.9733155436957972
velo_event_143.json,3247,200136,2411,2258,0.8768145997511406,196785,0,0.0,796,0,0.0,93,93,0.04118689105403012,51,51,0.022586359610274578,0.0637732506643047,0.9362267493356953
velo_event_144.json,2584,125028,1996,1830,0.8642284569138277,122468,0,0.0,459,0,0.0,68,68,0.03715846994535519,37,37,0.020218579234972677,0.05737704918032787,0.9426229508196722
velo_event_145.json,2240,97785,1610,1524,0.8937888198757764,95682,0,0.0,408,0,0.0,49,49,0.03215223097112861,36,36,0.023622047244094488,0.0557742782152231,0.9442257217847769
velo_event_146.json,4087,322335,3057,2944,0.892705266601243,317582,0,0.0,1481,0,0.0,128,128,0.043478260869565216,87,87,0.029551630434782608,0.07302989130434782,0.9269701086956522
velo_event_147.json,2589,126725,1943,1726,0.845084920226454,124324,0,0.0,374,0,0.0,38,38,0.0220162224797219,46,46,0.026651216685979143,0.04866743916570104,0.951332560834299
velo_event_148.json,3413,216762,2476,2394,0.872778675282714,212932,0,0.0,1121,0,0.0,142,142,0.059314954051796154,91,91,0.038011695906432746,0.0973266499582289,0.9026733500417711
velo_event_149.json,1118,23695,786,678,0.8435114503816794,22848,0,0.0,46,0,0.0,11,11,0.016224188790560472,4,4,0.0058997050147492625,0.022123893805309734,0.9778761061946902
velo_event_15.json,3055,176864,2207,2030,0.8500226551880381,173868,0,0.0,635,0,0.0,105,105,0.05172413793103448,49,49,0.02413793103448276,0.07586206896551724,0.9241379310344827
velo_event_150.json,4424,367999,3131,3145,0.8521239220696263,361819,0,0.0,2572,0,0.0,328,328,0.10429252782193958,149,149,0.04737678855325914,0.15166931637519873,0.8483306836248012
velo_event_151.json,1619,53055,1140,994,0.8333333333333334,51781,0,0.0,90,0,0.0,22,22,0.022132796780684104,22,22,0.022132796780684104,0.04426559356136821,0.9557344064386318
velo_event_152.json,2946,167176,2185,2011,0.8585812356979405,164364,0,0.0,492,0,0.0,86,86,0.04276479363500746,49,49,0.024365987071108902,0.06713078070611636,0.9328692192938837
velo_event_153.json,1137,25013,837,741,0.8578255675029869,24110,0,0.0,43,0,0.0,3,3,0.004048582995951417,20,20,0.02699055330634278,0.0310391363022942,0.9689608636977058
velo_event_154.json,2996,169495,2236,2169,0.8747763864042933,166366,0,0.0,680,0,0.0,109,109,0.05025357307514984,104,104,0.0479483633010604,0.09820193637621023,0.9017980636237898
velo_event_155.json,4410,367082,3169,3098,0.8523193436415273,361170,0,0.0,2346,0,0.0,285,285,0.09199483537766301,112,112,0.036152356358941255,0.12814719173660427,0.8718528082633957
velo_event_156.json,2462,114866,1740,1522,0.8419540229885057,112601,0,0.0,468,0,0.0,31,31,0.020367936925098553,26,26,0.017082785808147174,0.03745072273324573,0.9625492772667543
velo_event_157.json,3647,250630,2601,2404,0.851595540176855,246714,0,0.0,1126,0,0.0,117,117,0.04866888519134775,72,72,0.029950083194675542,0.0786189683860233,0.9213810316139767
