noise,T,n_seg,beta,alpha,epsilon,A0_nnz,Bfork_nnz,Ball_nnz,A_nnz,lam_min,lam_max,width,s_prime_g3,gamma_pd,gamma_win,gamma_star,ok_at_g3,f_lo_g3,f_hi_g3,f_lo_star,f_hi_star,contrast_g3,contrast_star,t_wall
heavy,100,39006,1.0,0.3,0.006312668537322595,39810,1892,7626166,7665976,1.5869943972551734,123.51499255414099,121.92799815688582,5.2,1.4130056027448266,116.11499255414098,116.11499255414098,False,0.8872749378093054,0.9256031845246939,0.04794928924381536,1.0,-0.03832824671538848,-0.9520507107561846,3.839545488357544
heavy,200,157609,0.0,0.0,0.006312668537322595,160381,0,0,160381,0.6327818341300527,7.367218165869949,6.7344363317398965,4.0,2.3672181658699474,2.367218165869949,2.367218165869949,True,0.969284197189867,0.9692841971898671,0.969284197189867,0.9692841971898671,-1.1102230246251565e-16,-1.1102230246251565e-16,0.2914621829986572
heavy,200,157609,0.5,0.0,0.006312668537322595,160381,18362,0,178743,1.4705355689777908,8.330583109017095,6.860047540039304,4.0,1.5294644310222092,3.3305831090170948,3.3305831090170948,False,0.8378421223851275,0.9915852527909124,0.7940794528864759,1.0,-0.1537431304057849,-0.20592054711352414,0.9792039394378662
heavy,200,157609,1.0,0.0,0.006312668537322595,160381,18362,0,178743,1.5857864376269075,9.312198397571525,7.726411959944617,4.0,1.4142135623730925,4.312198397571525,4.312198397571525,False,0.8122851882240895,0.8701453633732368,0.6547664072893915,1.0,-0.05786017514914732,-0.3452335927106085,1.108083724975586
heavy,200,157609,2.0,0.0,0.006312668537322595,160381,18362,0,178743,-0.8284271247461886,11.292228894890703,12.120656019636892,4.0,3.8284271247461885,6.2922288948907035,6.2922288948907035,False,0.9475476773143084,0.2743763116231667,0.8624429287435669,1.0,0.6731713656911418,-0.13755707125643313,0.9644660949707031
heavy,200,157609,4.0,0.0,0.006312668537322595,160381,18362,0,178743,-5.656854249492366,15.999999999999975,21.65685424949234,4.0,8.656854249492365,10.999999999999975,10.999999999999975,False,0.6056998670788092,1.0,0.9533299248569302,1.0,-0.3943001329211908,-0.046670075143069756,0.8827013969421387
heavy,200,157609,0.0,0.03,0.006312668537322595,160381,0,62255952,62416333,0.686229652135095,27.881595685960605,27.19536603382551,4.12,2.3137703478649048,22.641595685960606,22.641595685960606,False,0.9659689364575313,0.3573251769352666,0.22505023895876802,1.0,0.6086437595222647,-0.7749497610412319,25.95871901512146
heavy,200,157609,0.0,0.1,0.006312668537322595,160381,0,62255952,62416333,0.695772544360707,83.60047358543426,82.90470104107355,4.4,2.304227455639293,77.80047358543426,77.80047358543426,False,0.9693094326851347,0.00016906960386526383,0.07340049730688145,1.0,0.9691403630812694,-0.9265995026931185,26.649775505065918
heavy,200,157609,0.0,0.3,0.006312668537322595,160381,0,62255952,62416333,0.699146635128097,242.80015772237323,242.10101108724513,5.2,2.300853364871903,235.40015772237322,235.40015772237322,False,0.9777809872937581,0.46468098469201513,0.029751161658275557,1.0,0.5131000026017429,-0.9702488383417245,26.37645673751831
heavy,200,157609,0.0,1.0,0.006312668537322595,160381,0,62255952,62416333,0.7004129314162328,800.0000473119853,799.299634380569,8.0,2.299587068583767,787.0000473119853,787.0000473119853,False,0.9905582283785683,0.9999999999568508,0.014476973898109641,1.0,-0.00944177157828252,-0.9855230261018904,28.622981786727905
heavy,200,157609,1.0,0.3,0.006312668537322595,160381,18362,62255952,62416333,1.5857864376269084,242.86912642704314,241.28333998941622,5.2,1.4142135623730916,235.46912642704314,235.46912642704314,False,0.8874431836438971,0.44613359627992505,0.0238846904519038,1.0,0.441309587363972,-0.9761153095480962,100.57395243644714
